"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4132.8205,4165.641,4147.1795,4138.9744,4152.8205,4135.3846,4143.5897,4149.7436,4171.2821,4151.7949,4146.1538,4120
4128.7179,4166.6667,4151.2821,4144.1026,4116.4103,4131.7949,4141.5385,4153.3333,4168.7179,4152.8205,4152.3077,4120.5128
4127.6923,4164.6154,4147.6923,4133.3333,4111.7949,4132.8205,4140,4148.7179,4169.7436,4152.3077,4147.6923,4123.5897
4127.6923,4166.1538,4145.1282,4120.5128,4141.5385,4132.3077,4134.359,4140,4168.2051,4144.1026,4144.1026,4123.5897
4140.5128,4172.8205,4147.1795,4119.4872,4140.5128,4126.6667,4129.2308,4137.4359,4165.641,4143.0769,4148.7179,4123.0769
4139.4872,4168.7179,4143.0769,4124.1026,4133.8462,4123.0769,4126.6667,4130.7692,4160,4145.641,4143.0769,4117.4359
4126.6667,4161.0256,4138.9744,4127.1795,4156.4103,4124.1026,4119.4872,4121.0256,4154.8718,4142.5641,4132.8205,4113.8462
4131.2821,4169.2308,4140.5128,4131.7949,4158.9744,4120,4115.3846,4122.5641,4160,4141.5385,4138.9744,4127.1795
4127.6923,4172.3077,4136.9231,4138.4615,4136.9231,4111.2821,4117.4359,4120.5128,4159.4872,4140.5128,4138.4615,4130.7692
4124.1026,4163.5897,4134.359,4140.5128,4144.6154,4122.0513,4125.1282,4125.1282,4156.4103,4136.9231,4136.9231,4122.0513
4133.3333,4156.9231,4135.3846,4129.2308,4150.7692,4131.2821,4130.7692,4137.9487,4154.8718,4131.7949,4138.4615,4118.9744
4132.8205,4157.9487,4130.7692,4114.8718,4133.8462,4120.5128,4127.6923,4134.8718,4148.7179,4129.7436,4136.9231,4118.9744
4129.7436,4165.1282,4130.2564,4115.8974,4143.0769,4123.5897,4129.7436,4129.2308,4152.3077,4135.3846,4146.6667,4115.8974
4134.8718,4169.2308,4135.8974,4124.1026,4174.359,4129.7436,4133.3333,4133.8462,4160.5128,4139.4872,4158.4615,4111.7949
4143.5897,4176.9231,4140.5128,4127.6923,4182.5641,4121.0256,4129.2308,4137.9487,4167.6923,4144.1026,4163.0769,4121.0256
4141.0256,4177.4359,4145.641,4126.6667,4164.1026,4117.9487,4125.1282,4136.4103,4176.4103,4147.1795,4168.2051,4136.9231
4135.3846,4165.641,4145.641,4129.7436,4161.5385,4124.6154,4124.1026,4133.3333,4181.0256,4145.641,4168.7179,4138.9744
4141.0256,4164.1026,4136.4103,4130.2564,4168.7179,4120,4118.4615,4128.7179,4176.4103,4141.5385,4163.5897,4132.3077
4132.8205,4158.4615,4127.1795,4117.9487,4154.8718,4109.2308,4113.3333,4122.0513,4161.0256,4131.2821,4146.6667,4118.9744
4116.9231,4145.1282,4126.6667,4118.4615,4158.9744,4114.8718,4119.4872,4126.1538,4158.9744,4130.7692,4132.8205,4112.8205
4124.6154,4147.6923,4130.2564,4130.2564,4178.4615,4125.1282,4122.5641,4136.4103,4168.7179,4137.9487,4143.5897,4122.5641
4137.4359,4156.4103,4131.2821,4132.3077,4161.5385,4125.641,4123.0769,4143.5897,4170.2564,4138.9744,4154.8718,4133.3333
4131.2821,4153.8462,4131.2821,4131.2821,4153.8462,4128.2051,4130.7692,4149.7436,4175.3846,4137.4359,4151.2821,4131.7949
4123.0769,4142.5641,4127.6923,4123.5897,4176.4103,4128.7179,4131.7949,4146.6667,4173.3333,4135.3846,4143.0769,4117.9487
4116.4103,4126.6667,4117.4359,4109.2308,4164.6154,4116.9231,4122.0513,4132.3077,4150.7692,4128.7179,4125.1282,4103.0769
4105.641,4112.3077,4111.2821,4099.4872,4144.1026,4112.3077,4119.4872,4121.0256,4140.5128,4121.0256,4110.2564,4101.5385
4116.9231,4117.9487,4120,4104.6154,4164.6154,4128.2051,4127.6923,4117.9487,4160,4129.7436,4131.7949,4117.4359
4144.6154,4135.8974,4134.359,4117.4359,4177.4359,4140,4130.2564,4118.4615,4181.0256,4147.6923,4167.1795,4143.0769
4147.1795,4129.2308,4134.8718,4116.4103,4142.0513,4131.2821,4125.1282,4115.3846,4178.4615,4146.6667,4166.6667,4149.7436
4134.359,4112.8205,4130.7692,4108.2051,4127.6923,4128.7179,4122.0513,4111.7949,4171.7949,4142.5641,4155.3846,4142.5641
4134.359,4103.5897,4135.8974,4107.6923,4151.7949,4132.8205,4119.4872,4109.2308,4173.8462,4147.1795,4155.3846,4144.1026
4135.8974,4088.7179,4135.8974,4097.4359,4153.3333,4126.1538,4118.9744,4108.7179,4168.2051,4145.641,4138.4615,4141.5385
4135.3846,4090.7692,4128.7179,4091.2821,4133.3333,4130.7692,4125.641,4115.3846,4150.7692,4140.5128,4130.2564,4133.3333
4137.9487,4097.4359,4127.1795,4100,4130.2564,4144.1026,4131.7949,4108.2051,4133.8462,4136.9231,4140,4129.2308
4133.3333,4089.7436,4129.7436,4101.0256,4152.8205,4143.5897,4136.4103,4096.4103,4138.9744,4142.0513,4121.0256,4128.7179
4130.7692,4092.8205,4133.3333,4101.5385,4157.9487,4141.0256,4145.641,4110.7692,4146.6667,4150.7692,4106.1538,4136.4103
4141.0256,4098.9744,4133.3333,4114.359,4129.7436,4144.1026,4146.6667,4118.9744,4135.3846,4150.2564,4131.2821,4139.4872
4150.2564,4092.3077,4129.2308,4114.359,4127.1795,4142.5641,4137.9487,4105.641,4134.8718,4144.1026,4139.4872,4139.4872
4142.5641,4094.359,4129.7436,4103.0769,4153.3333,4142.5641,4140.5128,4101.5385,4137.9487,4144.1026,4120.5128,4139.4872
4141.5385,4108.7179,4137.4359,4101.0256,4163.5897,4148.7179,4150.2564,4115.8974,4132.3077,4152.3077,4139.4872,4143.5897
4148.2051,4107.1795,4137.9487,4093.8462,4161.0256,4149.2308,4149.7436,4121.5385,4139.4872,4153.8462,4159.4872,4147.1795
4135.3846,4086.1538,4128.7179,4078.9744,4158.4615,4136.4103,4141.5385,4104.6154,4146.6667,4143.5897,4141.0256,4135.8974
4130.7692,4081.5385,4127.6923,4080.5128,4153.8462,4130.7692,4142.5641,4102.0513,4146.6667,4145.1282,4135.8974,4137.4359
4135.8974,4086.6667,4132.3077,4080.5128,4152.3077,4137.4359,4146.1538,4112.3077,4140,4152.8205,4129.7436,4148.7179
4132.3077,4086.1538,4132.3077,4070.2564,4157.4359,4139.4872,4144.1026,4103.0769,4131.2821,4149.7436,4130.7692,4148.2051
4138.9744,4095.3846,4130.2564,4067.1795,4158.4615,4136.9231,4137.4359,4095.3846,4132.8205,4148.2051,4175.3846,4149.7436
4146.6667,4096.9231,4132.3077,4069.7436,4154.359,4133.3333,4133.8462,4101.5385,4136.4103,4151.2821,4192.8205,4153.8462
4145.1282,4090.2564,4141.5385,4071.7949,4157.4359,4130.2564,4138.9744,4106.1538,4138.9744,4153.8462,4171.2821,4158.4615
4145.641,4094.8718,4145.641,4061.5385,4157.9487,4127.1795,4138.4615,4103.5897,4141.0256,4150.7692,4168.2051,4167.6923
4145.641,4102.5641,4142.5641,4042.5641,4150.2564,4128.7179,4136.4103,4102.5641,4140,4145.641,4167.6923,4165.1282
4131.7949,4096.9231,4140,4033.8462,4151.7949,4135.3846,4142.5641,4108.2051,4143.5897,4148.2051,4159.4872,4148.2051
4117.9487,4085.641,4137.4359,4037.4359,4156.4103,4133.3333,4145.1282,4106.1538,4145.641,4146.1538,4146.1538,4140
4127.1795,4093.8462,4136.9231,4043.5897,4150.7692,4126.6667,4140,4102.0513,4143.5897,4144.6154,4134.8718,4158.9744
4140.5128,4100.5128,4137.9487,4041.0256,4148.7179,4127.6923,4135.3846,4097.9487,4146.6667,4153.8462,4137.9487,4170.7692
4142.0513,4092.3077,4136.9231,4026.6667,4149.2308,4130.7692,4137.9487,4095.3846,4153.8462,4157.9487,4141.5385,4157.9487
4149.7436,4103.5897,4138.9744,4025.1282,4139.4872,4126.1538,4142.0513,4105.1282,4160,4156.9231,4157.4359,4164.1026
4152.8205,4118.9744,4141.0256,4044.1026,4136.4103,4121.5385,4140,4109.2308,4158.4615,4152.3077,4174.359,4172.3077
4136.4103,4109.2308,4134.359,4046.1538,4148.7179,4128.2051,4139.4872,4107.6923,4151.2821,4146.6667,4160.5128,4147.1795
4125.641,4099.4872,4123.0769,4028.7179,4145.641,4127.1795,4140.5128,4111.2821,4143.0769,4141.5385,4135.8974,4127.1795
4122.0513,4106.1538,4117.9487,4015.3846,4133.3333,4114.359,4133.8462,4110.2564,4132.3077,4136.9231,4135.8974,4138.9744
4130.7692,4112.3077,4122.0513,4016.4103,4134.359,4118.9744,4132.8205,4112.3077,4134.8718,4135.3846,4150.2564,4155.3846
4147.6923,4108.2051,4128.7179,4018.9744,4130.2564,4123.5897,4134.8718,4119.4872,4146.6667,4136.9231,4145.1282,4153.3333
4147.1795,4108.2051,4130.7692,4019.4872,4122.5641,4117.9487,4128.2051,4124.6154,4150.2564,4144.6154,4144.6154,4158.4615
4140,4111.2821,4126.6667,4024.6154,4133.3333,4123.0769,4127.1795,4127.6923,4145.1282,4149.2308,4160,4163.0769
