"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4113.8462,4097.4359,4106.6667,4241.0256,4109.2308,4162.5641,4119.4872,4132.3077,4136.4103,4143.5897,4109.7436,4104.6154
4141.5385,4114.359,4130.2564,4262.5641,4142.0513,4144.1026,4121.5385,4144.1026,4157.9487,4163.5897,4137.4359,4137.4359
4152.3077,4109.2308,4135.3846,4267.1795,4131.7949,4135.8974,4121.5385,4146.6667,4155.8974,4164.1026,4145.1282,4145.1282
4131.2821,4100.5128,4113.8462,4245.1282,4129.7436,4175.8974,4125.641,4140,4142.5641,4150.2564,4129.7436,4124.6154
4124.6154,4101.0256,4108.7179,4238.4615,4134.359,4177.9487,4129.2308,4146.1538,4149.7436,4153.8462,4130.2564,4124.6154
4125.641,4101.5385,4111.2821,4245.1282,4099.4872,4129.7436,4121.0256,4138.4615,4152.8205,4152.8205,4123.0769,4124.6154
4111.7949,4100,4102.5641,4237.9487,4078.4615,4109.7436,4108.2051,4115.3846,4136.9231,4136.9231,4101.5385,4106.1538
4104.1026,4093.8462,4101.0256,4233.8462,4104.1026,4132.8205,4105.1282,4112.3077,4130.7692,4133.8462,4100,4098.9744
4107.6923,4099.4872,4107.1795,4244.1026,4118.4615,4142.5641,4111.2821,4123.0769,4136.4103,4143.0769,4108.7179,4106.1538
4102.0513,4098.9744,4104.6154,4233.8462,4110.2564,4131.2821,4110.2564,4124.1026,4133.8462,4141.5385,4106.6667,4103.5897
4092.8205,4092.3077,4091.7949,4210.7692,4098.9744,4152.3077,4107.6923,4120,4122.0513,4127.6923,4095.8974,4090.2564
4094.359,4100,4087.6923,4217.4359,4090.2564,4167.1795,4107.1795,4120,4120,4124.1026,4084.6154,4087.6923
4114.359,4102.5641,4108.7179,4244.6154,4106.6667,4130.2564,4107.1795,4131.2821,4142.0513,4145.1282,4104.6154,4111.7949
4134.359,4106.6667,4122.5641,4255.3846,4133.8462,4113.3333,4113.3333,4145.1282,4162.5641,4162.5641,4142.0513,4136.9231
4132.8205,4105.641,4108.7179,4248.7179,4129.7436,4140.5128,4118.9744,4144.6154,4160,4153.3333,4150.7692,4135.8974
4125.1282,4094.8718,4104.1026,4244.6154,4113.8462,4142.5641,4121.5385,4138.9744,4164.6154,4151.2821,4150.2564,4133.3333
4122.0513,4098.9744,4112.3077,4240,4108.7179,4136.4103,4123.5897,4141.5385,4173.3333,4156.9231,4157.9487,4136.9231
4111.2821,4097.4359,4103.5897,4228.2051,4094.8718,4146.6667,4121.0256,4137.9487,4161.0256,4143.0769,4147.1795,4127.1795
4109.7436,4099.4872,4100.5128,4227.6923,4098.9744,4141.0256,4121.0256,4138.4615,4158.4615,4140.5128,4137.9487,4121.5385
4118.9744,4105.641,4110.2564,4236.9231,4106.1538,4143.0769,4124.1026,4149.2308,4171.2821,4156.9231,4149.7436,4128.7179
4107.1795,4098.4615,4095.8974,4231.2821,4083.5897,4177.9487,4115.3846,4138.4615,4158.9744,4147.1795,4142.5641,4118.9744
4091.2821,4099.4872,4085.1282,4219.4872,4083.0769,4177.4359,4110.2564,4122.0513,4147.1795,4127.6923,4123.5897,4104.1026
4115.3846,4103.5897,4113.3333,4238.4615,4113.8462,4120,4120.5128,4140.5128,4173.3333,4150.7692,4143.5897,4127.6923
4142.5641,4112.8205,4136.4103,4270.7692,4114.359,4094.8718,4127.1795,4167.1795,4192.3077,4180,4171.7949,4156.9231
4128.2051,4111.2821,4117.4359,4260,4095.8974,4147.1795,4127.6923,4156.4103,4173.8462,4160.5128,4159.4872,4140
4117.9487,4098.4615,4111.7949,4241.0256,4098.9744,4159.4872,4129.7436,4148.2051,4162.5641,4147.6923,4145.641,4126.1538
4128.7179,4106.6667,4127.1795,4252.3077,4106.6667,4116.9231,4133.8462,4161.5385,4170.2564,4164.1026,4153.8462,4140.5128
4112.3077,4100,4106.1538,4247.1795,4109.7436,4156.4103,4133.8462,4145.1282,4159.4872,4151.7949,4140.5128,4126.6667
4093.3333,4090.2564,4086.1538,4235.3846,4100,4177.4359,4121.0256,4125.1282,4150.2564,4135.8974,4127.6923,4107.6923
4100.5128,4104.6154,4100.5128,4235.8974,4085.641,4125.1282,4108.7179,4131.7949,4156.4103,4147.1795,4135.8974,4115.3846
4101.5385,4102.5641,4098.9744,4229.7436,4090.2564,4145.641,4116.4103,4130.2564,4149.7436,4146.1538,4130.2564,4113.8462
4105.1282,4100.5128,4093.8462,4235.8974,4096.9231,4167.6923,4127.6923,4129.7436,4149.7436,4143.0769,4131.7949,4115.3846
4121.5385,4105.1282,4111.2821,4254.8718,4092.3077,4108.7179,4120,4149.2308,4170.2564,4160,4152.8205,4137.9487
4123.5897,4106.1538,4116.9231,4256.9231,4096.4103,4101.5385,4117.4359,4157.9487,4173.3333,4165.641,4153.3333,4138.4615
4110.7692,4107.6923,4103.0769,4245.641,4103.0769,4150.2564,4132.3077,4148.7179,4156.4103,4152.8205,4135.8974,4120
4102.0513,4098.9744,4094.8718,4240.5128,4092.3077,4140,4132.8205,4139.4872,4143.0769,4144.1026,4127.6923,4114.359
