"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4111.2821,4109.2308,4130.2564,4035.3846,4153.3333,4149.2308,4136.9231,4141.0256,4156.4103,4112.3077,4116.9231,4095.3846
4112.3077,4105.1282,4137.4359,4035.3846,4156.9231,4150.7692,4138.9744,4142.5641,4156.4103,4116.4103,4111.2821,4094.8718
4118.4615,4092.8205,4141.5385,4018.4615,4154.359,4146.6667,4135.8974,4134.359,4155.8974,4121.0256,4101.0256,4097.9487
4128.7179,4096.4103,4145.1282,4017.4359,4146.6667,4144.1026,4135.8974,4136.9231,4154.359,4126.6667,4103.0769,4108.7179
4141.0256,4103.0769,4148.7179,4031.7949,4154.8718,4148.7179,4146.1538,4152.8205,4159.4872,4131.2821,4123.0769,4120
4140,4092.8205,4146.1538,4023.5897,4160.5128,4147.6923,4148.7179,4156.4103,4162.5641,4128.2051,4129.2308,4117.9487
4132.3077,4091.7949,4141.5385,4016.9231,4153.8462,4144.1026,4143.5897,4146.6667,4164.1026,4123.0769,4119.4872,4115.3846
4127.1795,4101.0256,4136.9231,4026.6667,4144.6154,4139.4872,4142.5641,4137.4359,4156.4103,4120.5128,4110.2564,4103.5897
4118.9744,4093.3333,4132.8205,4019.4872,4155.8974,4142.5641,4144.1026,4136.9231,4140.5128,4117.4359,4095.3846,4080.5128
4114.8718,4082.5641,4128.7179,4006.1538,4168.7179,4149.7436,4139.4872,4139.4872,4143.0769,4112.3077,4094.8718,4081.5385
4123.0769,4084.1026,4129.2308,4014.359,4154.359,4142.0513,4135.8974,4135.8974,4161.0256,4113.3333,4123.0769,4108.2051
4137.4359,4086.1538,4129.7436,4029.2308,4145.641,4132.3077,4139.4872,4138.4615,4175.3846,4121.5385,4151.7949,4130.2564
4132.8205,4077.4359,4126.1538,4025.1282,4154.359,4135.3846,4136.9231,4140,4168.2051,4117.4359,4147.6923,4124.1026
4126.1538,4077.4359,4130.7692,4026.1538,4154.359,4137.9487,4129.7436,4138.9744,4160,4116.4103,4139.4872,4113.8462
4134.8718,4086.6667,4143.0769,4043.0769,4148.7179,4137.9487,4130.2564,4150.2564,4170.7692,4129.2308,4145.1282,4123.0769
4146.6667,4094.359,4150.2564,4056.4103,4149.2308,4140.5128,4140,4159.4872,4176.9231,4136.9231,4152.3077,4134.8718
4148.2051,4101.5385,4153.8462,4064.6154,4147.1795,4142.5641,4143.0769,4152.3077,4176.4103,4136.4103,4157.9487,4140
4133.3333,4094.359,4151.7949,4072.8205,4135.3846,4138.9744,4136.4103,4144.6154,4171.7949,4130.7692,4142.5641,4134.8718
4129.7436,4082.5641,4140.5128,4074.359,4136.4103,4137.9487,4137.4359,4154.359,4159.4872,4123.0769,4126.1538,4128.7179
4129.7436,4086.1538,4126.6667,4061.0256,4151.7949,4138.9744,4141.5385,4158.9744,4145.641,4114.359,4126.1538,4117.9487
4112.3077,4089.2308,4114.8718,4050.7692,4147.6923,4133.3333,4136.4103,4145.1282,4135.3846,4107.6923,4120.5128,4097.4359
4113.8462,4086.1538,4111.7949,4067.1795,4136.9231,4134.359,4139.4872,4142.5641,4138.9744,4113.3333,4122.5641,4096.4103
4129.2308,4083.0769,4114.8718,4082.5641,4146.1538,4142.5641,4153.3333,4150.2564,4144.1026,4121.5385,4125.1282,4102.5641
4112.3077,4081.5385,4117.9487,4076.4103,4156.4103,4148.7179,4154.359,4149.7436,4141.0256,4117.4359,4117.4359,4092.3077
4095.3846,4087.1795,4117.9487,4075.3846,4159.4872,4154.359,4147.6923,4153.8462,4138.4615,4112.3077,4111.2821,4089.7436
4113.8462,4091.7949,4117.9487,4084.1026,4149.7436,4151.7949,4149.7436,4163.0769,4137.9487,4115.8974,4108.7179,4099.4872
4132.3077,4096.4103,4124.6154,4082.0513,4143.5897,4147.6923,4153.8462,4171.7949,4136.4103,4124.1026,4116.4103,4109.2308
4120.5128,4104.1026,4126.6667,4071.2821,4161.0256,4148.7179,4148.2051,4170.7692,4132.3077,4124.6154,4125.641,4109.2308
4109.7436,4108.7179,4121.0256,4068.2051,4173.3333,4147.1795,4141.0256,4161.0256,4134.359,4120,4123.5897,4103.5897
4128.2051,4117.9487,4123.0769,4075.8974,4160.5128,4146.1538,4146.1538,4161.5385,4144.1026,4123.0769,4124.6154,4107.1795
4135.3846,4120,4126.6667,4080.5128,4153.3333,4145.1282,4149.7436,4162.5641,4141.5385,4126.1538,4123.0769,4107.6923
4127.6923,4115.3846,4125.641,4079.4872,4163.5897,4141.0256,4143.5897,4160.5128,4136.9231,4126.1538,4119.4872,4108.7179
4126.1538,4115.8974,4124.6154,4084.1026,4150.7692,4140,4140,4159.4872,4140.5128,4123.5897,4122.0513,4114.359
4115.3846,4104.6154,4120,4089.2308,4133.3333,4140.5128,4142.0513,4151.2821,4133.8462,4115.8974,4105.641,4104.1026
4118.4615,4100,4116.4103,4085.641,4151.2821,4140,4141.0256,4152.3077,4131.2821,4115.8974,4088.2051,4094.359
4142.5641,4120.5128,4122.5641,4084.6154,4164.1026,4134.359,4138.9744,4157.4359,4137.4359,4122.0513,4107.1795,4109.7436
4148.2051,4135.3846,4127.6923,4089.7436,4153.3333,4130.7692,4140.5128,4154.8718,4141.5385,4128.2051,4131.2821,4128.7179
4136.9231,4127.1795,4127.6923,4091.7949,4146.6667,4132.3077,4140,4151.2821,4147.6923,4131.7949,4128.7179,4128.2051
4131.7949,4117.9487,4128.7179,4093.3333,4145.641,4131.2821,4140.5128,4151.2821,4146.1538,4134.359,4118.9744,4122.0513
4127.6923,4120.5128,4129.2308,4096.9231,4146.1538,4137.4359,4140,4158.9744,4140.5128,4136.9231,4122.0513,4124.1026
4121.5385,4118.9744,4124.1026,4100.5128,4145.1282,4143.0769,4140,4163.0769,4142.5641,4135.8974,4123.5897,4116.9231
4123.5897,4118.9744,4123.0769,4106.6667,4137.4359,4138.9744,4141.0256,4158.9744,4147.1795,4134.359,4120,4110.7692
4125.1282,4116.9231,4124.6154,4107.6923,4128.7179,4137.4359,4138.4615,4152.8205,4142.5641,4132.8205,4113.3333,4117.9487
4117.9487,4101.5385,4122.0513,4109.2308,4124.6154,4139.4872,4136.9231,4154.359,4134.8718,4127.6923,4106.1538,4112.8205
4120.5128,4104.1026,4125.1282,4123.5897,4131.2821,4141.5385,4140.5128,4167.6923,4141.0256,4127.6923,4109.2308,4111.7949
4123.0769,4113.8462,4124.1026,4113.3333,4139.4872,4140,4142.5641,4169.2308,4137.9487,4125.641,4097.9487,4117.4359
4120.5128,4112.3077,4113.3333,4087.6923,4141.0256,4135.3846,4139.4872,4160.5128,4128.2051,4120,4083.0769,4106.6667
4123.0769,4115.8974,4119.4872,4105.1282,4133.3333,4131.2821,4145.641,4163.5897,4137.9487,4127.6923,4098.9744,4105.641
4122.0513,4113.8462,4131.7949,4122.5641,4122.0513,4131.2821,4149.7436,4164.1026,4144.6154,4139.4872,4106.1538,4116.9231
4118.9744,4104.6154,4123.5897,4096.9231,4122.0513,4130.7692,4141.5385,4153.3333,4133.3333,4138.4615,4091.7949,4113.8462
4114.8718,4105.1282,4117.4359,4088.2051,4125.641,4124.1026,4138.4615,4150.2564,4126.6667,4134.8718,4090.7692,4104.1026
4121.0256,4114.8718,4126.1538,4106.1538,4130.7692,4129.2308,4145.1282,4157.4359,4132.3077,4141.0256,4096.4103,4114.8718
4130.7692,4121.0256,4128.2051,4104.1026,4141.5385,4139.4872,4142.5641,4160,4134.359,4145.641,4094.8718,4128.2051
4124.1026,4121.5385,4126.1538,4094.359,4136.9231,4127.1795,4134.8718,4149.7436,4123.5897,4140,4100.5128,4118.9744
4123.5897,4122.0513,4131.2821,4100,4111.7949,4116.9231,4138.4615,4144.6154,4132.8205,4139.4872,4103.0769,4116.4103
4134.359,4111.7949,4134.8718,4098.9744,4113.8462,4124.6154,4140,4152.3077,4143.5897,4138.4615,4078.9744,4118.9744
4131.2821,4106.6667,4131.2821,4092.8205,4141.5385,4127.6923,4135.8974,4152.3077,4132.3077,4135.3846,4066.1538,4107.1795
4123.0769,4123.5897,4131.7949,4101.5385,4146.1538,4124.1026,4135.3846,4143.0769,4133.8462,4139.4872,4088.7179,4098.9744
4125.1282,4129.7436,4130.2564,4102.5641,4135.8974,4125.1282,4136.9231,4135.8974,4139.4872,4137.9487,4104.6154,4098.9744
4126.6667,4118.4615,4123.0769,4092.3077,4147.1795,4133.3333,4138.4615,4138.9744,4132.3077,4134.359,4110.7692,4110.2564
4120,4121.0256,4123.0769,4094.359,4153.8462,4138.9744,4138.4615,4142.5641,4129.7436,4136.9231,4107.1795,4111.2821
4119.4872,4130.2564,4130.7692,4096.9231,4134.8718,4135.3846,4139.4872,4137.9487,4132.3077,4137.9487,4088.2051,4105.1282
4130.7692,4124.1026,4131.2821,4088.2051,4132.3077,4134.359,4140.5128,4135.3846,4133.3333,4135.8974,4108.2051,4123.0769
4128.2051,4107.6923,4122.0513,4081.5385,4136.4103,4134.359,4138.9744,4135.8974,4142.5641,4133.8462,4109.7436,4103.5897
4120.5128,4104.6154,4122.5641,4085.641,4127.6923,4129.7436,4136.4103,4139.4872,4143.0769,4136.9231,4051.2821,4061.5385
4123.5897,4104.6154,4126.6667,4082.5641,4124.6154,4126.6667,4136.4103,4136.9231,4117.4359,4140,4053.8462,4090.2564
4137.4359,4097.4359,4124.6154,4074.8718,4135.8974,4129.2308,4137.4359,4128.7179,4133.8462,4140.5128,4112.8205,4130.2564
4146.1538,4113.3333,4125.641,4083.5897,4138.4615,4128.7179,4136.4103,4130.7692,4166.1538,4137.4359,4127.1795,4114.359
4136.9231,4128.7179,4127.1795,4091.7949,4123.5897,4123.0769,4136.9231,4136.4103,4136.4103,4132.3077,4108.7179,4100
4133.8462,4129.7436,4125.641,4092.8205,4126.1538,4121.5385,4135.3846,4137.4359,4115.8974,4135.3846,4079.4872,4104.6154
4140,4134.359,4125.1282,4089.7436,4132.8205,4116.4103,4128.7179,4133.8462,4140,4133.8462,4041.5385,4095.3846
4156.9231,4135.3846,4130.2564,4079.4872,4116.9231,4098.9744,4121.0256,4122.5641,4137.9487,4129.2308,4069.2308,4112.8205
4194.359,4154.359,4141.5385,4082.0513,4110.7692,4091.2821,4117.4359,4115.3846,4143.0769,4142.0513,4109.7436,4124.6154
4201.5385,4174.8718,4142.0513,4090.2564,4113.3333,4092.3077,4110.2564,4111.2821,4171.7949,4149.7436,4055.8974,4105.1282
4177.9487,4174.8718,4135.8974,4086.6667,4109.2308,4088.2051,4103.0769,4109.7436,4158.9744,4133.8462,4042.0513,4143.0769
4188.2051,4182.0513,4140,4092.3077,4115.8974,4088.2051,4107.1795,4112.8205,4149.2308,4122.5641,4116.4103,4191.2821
4198.4615,4194.359,4139.4872,4103.5897,4120,4089.7436,4102.0513,4107.6923,4169.7436,4125.641,4114.359,4173.3333
4167.1795,4180,4128.7179,4099.4872,4116.4103,4088.7179,4105.641,4106.6667,4171.2821,4128.7179,4074.359,4165.1282
4166.1538,4148.7179,4129.2308,4101.0256,4122.5641,4085.1282,4140.5128,4115.8974,4168.7179,4128.7179,4124.6154,4181.0256
4215.3846,4128.7179,4135.8974,4118.4615,4135.3846,4084.6154,4168.2051,4123.5897,4187.6923,4132.3077,4210.2564,4160
4238.4615,4113.8462,4134.8718,4123.0769,4135.3846,4087.1795,4166.6667,4131.2821,4197.9487,4134.359,4244.6154,4127.6923
4204.6154,4088.7179,4126.6667,4107.1795,4133.3333,4086.1538,4166.1538,4137.4359,4204.1026,4137.9487,4227.1795,4077.9487
4179.4872,4057.4359,4118.9744,4098.4615,4146.1538,4086.6667,4173.3333,4137.9487,4244.1026,4148.2051,4233.3333,4024.1026
4198.4615,4038.4615,4114.8718,4108.2051,4152.8205,4083.0769,4169.2308,4126.6667,4246.1538,4141.5385,4301.5385,4041.0256
4201.5385,4035.3846,4106.1538,4114.359,4148.2051,4074.359,4160.5128,4116.9231,4190.2564,4123.0769,4349.2308,4048.2051
4163.5897,4010.2564,4090.2564,4102.5641,4143.0769,4069.2308,4155.3846,4116.4103,4180,4117.9487,4329.2308,3982.5641
4133.3333,3967.6923,4075.3846,4092.3077,4137.4359,4066.6667,4150.7692,4107.1795,4201.5385,4112.3077,4326.1538,3932.3077
4134.8718,3954.359,4070.2564,4100.5128,4137.4359,4065.641,4154.8718,4098.9744,4190.2564,4100.5128,4375.8974,3926.6667
4127.6923,3940.5128,4060.5128,4103.5897,4129.7436,4056.4103,4153.3333,4093.8462,4165.641,4090.2564,4386.6667,3900.5128
4107.6923,3910.7692,4045.1282,4092.3077,4115.8974,4046.6667,4141.0256,4087.1795,4181.5385,4086.1538,4362.5641,3865.641
4127.1795,3916.4103,4050.2564,4091.7949,4129.7436,4056.4103,4142.5641,4096.4103,4214.359,4095.3846,4386.6667,3875.3846
4149.7436,3937.9487,4051.2821,4092.3077,4138.9744,4062.0513,4149.7436,4097.4359,4200.5128,4092.8205,4437.4359,3888.2051
4142.5641,3953.8462,4044.6154,4090.7692,4133.3333,4062.5641,4152.8205,4097.9487,4186.1538,4084.6154,4483.5897,3898.9744
4169.7436,4001.0256,4076.9231,4117.4359,4164.1026,4094.8718,4182.0513,4132.3077,4241.0256,4111.7949,4543.5897,3946.6667
4223.0769,4058.9744,4128.2051,4155.8974,4204.1026,4132.8205,4220,4171.7949,4292.8205,4145.641,4595.3846,3984.6154
4221.5385,4074.359,4132.8205,4157.4359,4204.6154,4133.8462,4216.4103,4180.5128,4283.5897,4143.5897,4618.9744,3975.3846
4194.8718,4061.5385,4113.8462,4140.5128,4191.7949,4122.0513,4197.4359,4177.9487,4266.1538,4130.7692,4627.6923,3967.6923
4216.9231,4073.8462,4117.9487,4152.8205,4206.6667,4134.8718,4203.0769,4178.9744,4270.7692,4137.4359,4648.7179,3988.2051
4226.6667,4090.2564,4125.641,4165.1282,4223.0769,4154.359,4204.6154,4180,4277.9487,4141.5385,4661.0256,3980
4196.9231,4080,4122.5641,4152.8205,4228.7179,4165.1282,4196.4103,4189.7436,4283.0769,4137.9487,4655.3846,3959.4872
4210.7692,4086.1538,4129.2308,4159.4872,4230.2564,4178.4615,4202.0513,4203.0769,4289.2308,4142.5641,4674.359,3999.4872
4249.7436,4114.359,4145.1282,4178.4615,4230.7692,4190.7692,4212.8205,4204.6154,4296.9231,4150.2564,4704.6154,4040
4250.7692,4133.3333,4157.9487,4180,4243.0769,4198.9744,4220,4217.4359,4307.1795,4160,4722.0513,4024.6154
4243.0769,4146.6667,4162.5641,4182.5641,4256.9231,4201.5385,4228.2051,4236.9231,4308.2051,4163.0769,4716.4103,4009.7436
