"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4124.6154,4125.1282,4135.3846,4139.4872,4138.9744,4132.3077,4138.4615,4151.7949,4147.6923,4141.0256,4152.3077,4131.7949
4128.7179,4123.5897,4131.7949,4140.5128,4138.9744,4134.359,4138.4615,4153.3333,4143.5897,4138.4615,4153.3333,4132.3077
4132.3077,4129.7436,4133.3333,4142.0513,4137.9487,4138.4615,4137.9487,4147.6923,4146.1538,4141.0256,4155.3846,4131.2821
4131.2821,4131.2821,4137.4359,4142.5641,4137.4359,4141.0256,4141.0256,4151.2821,4152.8205,4145.1282,4156.9231,4132.8205
4125.641,4126.1538,4135.3846,4137.9487,4137.9487,4139.4872,4138.9744,4152.8205,4149.7436,4144.1026,4151.7949,4133.8462
4123.5897,4126.6667,4135.8974,4135.8974,4139.4872,4137.9487,4135.8974,4144.6154,4145.1282,4145.1282,4149.7436,4129.7436
4125.641,4128.2051,4134.8718,4139.4872,4140,4138.9744,4137.4359,4137.4359,4142.5641,4146.1538,4154.359,4130.2564
4120.5128,4124.1026,4125.1282,4135.3846,4137.4359,4135.8974,4137.4359,4134.359,4136.4103,4137.9487,4149.7436,4131.2821
4111.2821,4122.5641,4118.9744,4126.6667,4134.359,4130.2564,4134.8718,4130.7692,4133.8462,4130.2564,4136.4103,4124.6154
4112.3077,4128.7179,4123.0769,4130.2564,4136.4103,4132.3077,4134.8718,4125.1282,4133.8462,4128.7179,4130.2564,4118.9744
4122.0513,4131.2821,4132.8205,4140,4135.8974,4139.4872,4131.7949,4127.1795,4136.4103,4136.4103,4137.4359,4126.1538
4128.7179,4130.7692,4140.5128,4140.5128,4129.2308,4135.8974,4126.6667,4134.359,4145.641,4147.1795,4151.2821,4136.9231
4132.8205,4131.2821,4140,4142.0513,4128.7179,4131.7949,4127.1795,4139.4872,4148.2051,4148.7179,4158.9744,4140
4134.8718,4127.1795,4135.8974,4153.3333,4134.8718,4138.4615,4128.7179,4140.5128,4137.4359,4145.1282,4161.5385,4140
4136.9231,4125.1282,4137.9487,4158.9744,4138.4615,4137.4359,4123.0769,4132.3077,4127.1795,4142.5641,4164.1026,4143.5897
4144.6154,4131.7949,4140.5128,4147.1795,4138.4615,4127.6923,4121.0256,4125.1282,4130.2564,4143.0769,4170.2564,4152.3077
4140.5128,4133.8462,4137.4359,4134.359,4140.5128,4129.7436,4124.1026,4131.2821,4138.4615,4145.1282,4177.4359,4150.2564
4141.5385,4128.2051,4135.3846,4146.1538,4142.0513,4138.9744,4123.0769,4133.8462,4143.0769,4145.641,4185.641,4147.1795
4167.6923,4133.8462,4140.5128,4163.0769,4140.5128,4136.9231,4121.0256,4124.1026,4149.2308,4147.1795,4203.5897,4168.7179
4175.3846,4141.5385,4139.4872,4157.4359,4139.4872,4128.2051,4120.5128,4117.9487,4148.7179,4141.0256,4212.3077,4178.4615
4170.7692,4135.3846,4135.8974,4156.9231,4139.4872,4126.6667,4118.4615,4116.4103,4141.5385,4138.4615,4214.8718,4172.8205
4190.2564,4133.3333,4146.1538,4173.8462,4140.5128,4130.2564,4117.4359,4116.9231,4145.641,4149.7436,4238.9744,4186.1538
4197.4359,4140.5128,4150.2564,4176.9231,4138.4615,4128.2051,4114.359,4117.9487,4146.1538,4148.2051,4251.7949,4187.6923
4183.0769,4140,4141.5385,4166.1538,4135.8974,4124.1026,4107.1795,4114.359,4134.359,4136.9231,4238.4615,4172.8205
4183.5897,4137.9487,4145.641,4167.1795,4137.9487,4128.7179,4110.2564,4114.359,4134.359,4139.4872,4246.6667,4176.4103
4189.7436,4129.2308,4154.8718,4176.4103,4141.0256,4136.9231,4123.5897,4126.1538,4149.7436,4150.7692,4273.3333,4183.5897
4183.5897,4117.9487,4148.2051,4175.3846,4142.5641,4133.8462,4121.5385,4127.1795,4149.7436,4152.8205,4270.2564,4177.9487
4178.4615,4127.1795,4137.9487,4166.1538,4143.5897,4126.1538,4106.6667,4118.4615,4137.4359,4147.1795,4261.0256,4177.4359
4169.2308,4132.8205,4138.4615,4175.3846,4138.9744,4129.2308,4111.7949,4122.0513,4133.8462,4143.5897,4266.6667,4173.8462
4164.6154,4121.0256,4138.9744,4192.8205,4137.9487,4134.8718,4122.0513,4125.641,4129.7436,4142.0513,4263.5897,4162.0513
4168.7179,4124.1026,4139.4872,4175.3846,4152.3077,4136.9231,4114.359,4121.0256,4128.7179,4147.1795,4262.5641,4163.5897
4161.0256,4133.3333,4138.9744,4146.6667,4156.4103,4136.9231,4112.3077,4119.4872,4134.359,4154.359,4266.6667,4163.5897
4152.8205,4128.2051,4136.4103,4151.7949,4145.1282,4134.8718,4121.0256,4119.4872,4134.359,4153.3333,4263.0769,4153.8462
4158.4615,4122.0513,4137.9487,4159.4872,4146.6667,4137.4359,4123.5897,4121.0256,4135.8974,4155.8974,4262.0513,4155.8974
4162.0513,4124.1026,4140.5128,4150.2564,4151.7949,4138.9744,4121.5385,4122.5641,4141.0256,4162.5641,4266.1538,4165.1282
4155.3846,4120.5128,4138.9744,4159.4872,4141.5385,4135.3846,4124.1026,4123.5897,4140.5128,4162.5641,4266.1538,4164.1026
4151.2821,4120,4134.8718,4169.7436,4135.8974,4136.9231,4128.7179,4128.2051,4137.9487,4163.5897,4261.5385,4155.3846
4153.8462,4129.7436,4134.8718,4158.4615,4141.0256,4135.3846,4128.7179,4127.1795,4137.4359,4166.1538,4258.9744,4151.7949
4155.3846,4130.7692,4135.8974,4155.8974,4138.4615,4125.641,4122.5641,4122.5641,4136.4103,4164.6154,4262.0513,4156.9231
4154.8718,4118.4615,4136.9231,4174.359,4135.3846,4128.2051,4120,4128.7179,4133.3333,4163.0769,4262.0513,4156.9231
4154.8718,4117.4359,4135.3846,4167.6923,4137.9487,4133.3333,4124.1026,4133.8462,4134.359,4162.5641,4252.8205,4152.3077
4153.8462,4124.6154,4133.8462,4145.641,4137.4359,4127.1795,4124.6154,4126.1538,4141.5385,4165.1282,4249.7436,4155.3846
4145.1282,4118.9744,4137.4359,4161.0256,4136.9231,4124.1026,4121.5385,4122.5641,4137.9487,4164.1026,4246.1538,4150.7692
4140,4117.9487,4136.4103,4172.3077,4140,4128.2051,4120.5128,4127.1795,4123.5897,4161.0256,4235.8974,4141.5385
4143.0769,4129.7436,4131.2821,4149.2308,4141.0256,4130.7692,4121.0256,4124.6154,4126.6667,4161.5385,4241.5385,4147.1795
4141.0256,4132.3077,4133.3333,4140.5128,4139.4872,4136.4103,4124.1026,4125.641,4134.359,4161.0256,4246.1538,4148.2051
4140,4125.1282,4138.9744,4154.359,4138.9744,4140,4125.641,4137.4359,4128.7179,4160.5128,4235.8974,4142.0513
4148.7179,4126.6667,4138.4615,4152.8205,4138.9744,4128.7179,4123.0769,4140.5128,4127.6923,4160.5128,4234.8718,4144.6154
4147.6923,4125.1282,4135.3846,4145.1282,4138.9744,4122.5641,4118.9744,4136.9231,4132.8205,4160.5128,4238.4615,4144.6154
4141.0256,4118.4615,4137.4359,4151.7949,4137.9487,4131.2821,4120.5128,4136.4103,4133.3333,4161.0256,4234.8718,4142.0513
4142.5641,4125.641,4137.4359,4153.8462,4138.9744,4138.9744,4126.6667,4134.359,4132.8205,4158.9744,4231.2821,4145.1282
4141.5385,4128.7179,4130.7692,4150.7692,4145.1282,4138.4615,4126.6667,4128.7179,4131.7949,4155.3846,4222.5641,4143.5897
4143.0769,4128.2051,4127.6923,4152.3077,4152.8205,4135.3846,4121.0256,4125.641,4124.1026,4154.8718,4211.7949,4137.9487
4152.3077,4135.3846,4134.359,4156.4103,4153.3333,4135.8974,4121.5385,4124.6154,4123.0769,4157.9487,4213.8462,4143.0769
4153.3333,4130.7692,4136.9231,4161.5385,4148.7179,4139.4872,4126.1538,4125.1282,4124.1026,4157.9487,4216.9231,4147.6923
4152.8205,4122.0513,4133.3333,4169.2308,4149.2308,4136.9231,4123.0769,4123.0769,4119.4872,4153.8462,4222.5641,4146.1538
4171.2821,4135.3846,4137.9487,4172.8205,4151.7949,4129.7436,4120,4122.0513,4126.6667,4159.4872,4243.5897,4161.5385
4192.8205,4154.359,4149.2308,4167.6923,4152.3077,4132.3077,4123.5897,4132.8205,4138.9744,4169.2308,4261.0256,4182.5641
4198.4615,4151.7949,4154.8718,4173.8462,4152.3077,4139.4872,4123.0769,4137.9487,4141.0256,4170.2564,4266.6667,4184.6154
4206.1538,4147.1795,4153.8462,4188.7179,4150.2564,4133.3333,4114.8718,4126.1538,4140,4169.7436,4271.2821,4185.641
4211.2821,4147.6923,4150.2564,4187.6923,4146.1538,4123.0769,4105.1282,4117.4359,4139.4872,4163.5897,4267.1795,4192.8205
4207.6923,4135.8974,4153.8462,4193.3333,4140,4119.4872,4104.1026,4121.5385,4138.4615,4161.5385,4258.4615,4194.359
4211.2821,4133.8462,4164.1026,4206.1538,4142.5641,4126.1538,4113.8462,4125.641,4147.6923,4169.7436,4259.4872,4196.9231
4210.2564,4144.6154,4162.0513,4187.6923,4151.7949,4135.3846,4120,4125.641,4155.3846,4171.2821,4260,4198.9744
4194.8718,4139.4872,4152.8205,4161.0256,4150.2564,4136.9231,4118.9744,4122.5641,4146.1538,4164.1026,4247.1795,4191.2821
4183.0769,4125.1282,4151.7949,4164.6154,4143.0769,4133.8462,4121.0256,4117.4359,4135.3846,4157.4359,4231.7949,4179.4872
