"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4104.1026,4106.1538,4119.4872,4091.7949,4103.0769,4118.4615,4118.9744,4126.1538,4092.3077,4113.8462,4105.1282,4107.6923
4129.7436,4109.7436,4130.2564,4096.9231,4117.9487,4125.641,4126.6667,4135.3846,4103.0769,4128.7179,4117.9487,4116.4103
4146.6667,4116.4103,4140,4108.2051,4110.2564,4125.641,4129.2308,4132.3077,4111.7949,4139.4872,4127.1795,4125.641
4112.8205,4111.2821,4130.7692,4101.5385,4080.5128,4117.9487,4117.9487,4117.9487,4095.8974,4126.1538,4111.7949,4111.7949
4093.3333,4111.7949,4128.2051,4099.4872,4107.1795,4126.1538,4120.5128,4118.9744,4091.2821,4123.5897,4112.8205,4106.1538
4124.6154,4121.0256,4142.0513,4117.9487,4162.0513,4145.641,4136.9231,4131.7949,4108.2051,4137.9487,4138.4615,4127.1795
4148.2051,4123.0769,4136.9231,4117.4359,4143.5897,4143.5897,4136.4103,4129.2308,4106.6667,4140,4145.1282,4132.8205
4135.3846,4117.9487,4121.0256,4103.5897,4124.1026,4136.9231,4131.2821,4122.5641,4093.3333,4131.7949,4133.8462,4122.5641
4115.3846,4110.2564,4124.6154,4107.1795,4129.7436,4138.9744,4133.3333,4125.1282,4097.9487,4129.2308,4130.7692,4124.6154
4098.9744,4104.1026,4118.9744,4100.5128,4067.6923,4117.4359,4115.8974,4116.4103,4092.3077,4118.9744,4114.8718,4112.8205
4098.4615,4107.1795,4109.2308,4090.7692,4044.6154,4103.5897,4104.1026,4109.2308,4082.5641,4117.4359,4104.6154,4103.0769
4123.0769,4116.9231,4132.3077,4108.7179,4133.8462,4131.7949,4129.2308,4129.2308,4100,4139.4872,4127.6923,4126.6667
4138.4615,4114.359,4136.4103,4161.0256,4139.4872,4139.4872,4133.8462,4130.2564,4102.5641,4143.5897,4149.2308,4141.5385
4121.0256,4110.2564,4124.6154,4159.4872,4123.5897,4135.8974,4123.5897,4124.1026,4094.8718,4130.2564,4137.4359,4125.641
4110.7692,4108.7179,4117.9487,4154.8718,4107.1795,4127.1795,4120,4120,4091.2821,4121.5385,4130.2564,4119.4872
4129.7436,4115.3846,4127.6923,4157.9487,4128.2051,4127.6923,4124.6154,4129.2308,4095.3846,4133.3333,4138.9744,4130.2564
4136.4103,4120.5128,4137.9487,4150.2564,4146.1538,4139.4872,4130.2564,4138.9744,4105.1282,4143.0769,4146.1538,4135.3846
4121.5385,4116.4103,4129.2308,4136.4103,4125.641,4138.4615,4133.8462,4132.3077,4106.6667,4135.8974,4138.9744,4128.7179
4122.5641,4124.1026,4128.2051,4149.2308,4129.2308,4138.4615,4138.9744,4133.3333,4106.1538,4135.8974,4139.4872,4131.2821
4121.0256,4127.1795,4133.3333,4162.0513,4121.5385,4141.0256,4136.4103,4137.4359,4103.5897,4139.4872,4144.6154,4132.3077
4105.641,4113.8462,4113.8462,4149.2308,4077.9487,4128.7179,4121.5385,4124.1026,4091.2821,4124.6154,4134.359,4115.3846
4112.8205,4112.3077,4104.1026,4149.2308,4095.3846,4127.1795,4119.4872,4123.0769,4092.3077,4119.4872,4129.7436,4111.2821
4135.8974,4120,4130.7692,4174.359,4157.4359,4146.6667,4134.8718,4138.9744,4111.2821,4138.9744,4145.1282,4130.2564
4130.2564,4118.4615,4137.9487,4179.4872,4131.7949,4138.4615,4131.2821,4131.2821,4110.7692,4141.5385,4145.1282,4130.2564
4107.1795,4112.3077,4117.4359,4157.4359,4081.0256,4115.3846,4115.3846,4114.359,4092.8205,4122.0513,4123.0769,4107.6923
4111.2821,4116.4103,4122.0513,4153.3333,4116.9231,4130.2564,4125.1282,4122.5641,4098.9744,4122.5641,4116.9231,4110.7692
4123.0769,4119.4872,4125.1282,4168.7179,4129.7436,4144.6154,4133.3333,4129.2308,4108.2051,4131.2821,4123.5897,4121.5385
4117.4359,4114.8718,4108.2051,4170.2564,4081.5385,4126.6667,4120.5128,4119.4872,4100.5128,4128.2051,4125.1282,4114.359
4112.8205,4116.4103,4112.8205,4165.1282,4091.7949,4122.5641,4124.1026,4121.0256,4093.3333,4126.1538,4117.4359,4106.6667
4122.0513,4119.4872,4127.1795,4175.8974,4142.5641,4141.0256,4142.0513,4130.7692,4097.4359,4127.6923,4111.2821,4112.3077
4126.6667,4119.4872,4124.1026,4186.6667,4131.7949,4143.0769,4138.4615,4127.1795,4105.1282,4130.7692,4123.5897,4119.4872
4117.9487,4117.9487,4118.9744,4187.1795,4096.4103,4127.1795,4123.0769,4121.0256,4105.641,4131.2821,4133.8462,4117.4359
4108.7179,4116.4103,4118.4615,4187.6923,4105.1282,4123.0769,4121.0256,4124.1026,4101.5385,4128.2051,4132.8205,4113.3333
4103.5897,4115.8974,4110.7692,4178.9744,4117.4359,4125.641,4123.5897,4123.5897,4092.3077,4123.0769,4128.7179,4109.7436
4110.2564,4116.4103,4104.1026,4167.1795,4116.4103,4124.1026,4124.1026,4121.5385,4091.2821,4124.1026,4127.6923,4110.7692
4106.6667,4113.8462,4110.7692,4170.7692,4115.3846,4125.641,4124.6154,4123.5897,4100.5128,4124.6154,4129.7436,4109.2308
4092.3077,4113.8462,4124.6154,4171.2821,4122.0513,4135.8974,4125.641,4125.641,4105.641,4124.6154,4134.359,4110.7692
4096.9231,4112.3077,4123.0769,4156.4103,4108.7179,4137.4359,4125.641,4122.5641,4095.8974,4124.6154,4127.1795,4110.2564
4105.641,4107.6923,4102.5641,4146.1538,4075.3846,4124.1026,4122.5641,4115.8974,4074.359,4107.6923,4104.6154,4090.7692
4104.1026,4112.3077,4102.0513,4151.2821,4095.3846,4128.2051,4129.7436,4122.0513,4074.359,4102.5641,4101.5385,4083.0769
4095.3846,4120,4124.1026,4157.9487,4150.2564,4146.6667,4142.0513,4135.3846,4089.7436,4119.4872,4115.3846,4092.8205
4089.7436,4115.8974,4129.7436,4153.3333,4140.5128,4145.1282,4138.9744,4131.2821,4091.7949,4127.1795,4121.5385,4089.7436
4095.8974,4106.6667,4115.3846,4140.5128,4093.8462,4129.2308,4124.1026,4118.4615,4089.7436,4119.4872,4119.4872,4081.0256
4112.8205,4115.8974,4111.2821,4140,4106.6667,4124.1026,4121.5385,4121.0256,4098.4615,4118.4615,4121.5385,4086.1538
4115.3846,4123.0769,4111.7949,4150.7692,4138.4615,4131.2821,4129.7436,4127.1795,4097.9487,4123.0769,4127.1795,4094.359
4105.1282,4112.3077,4106.6667,4152.3077,4136.4103,4136.4103,4132.3077,4125.641,4087.1795,4120,4122.0513,4091.2821
4110.7692,4110.7692,4115.3846,4154.359,4126.6667,4133.8462,4133.8462,4128.2051,4091.2821,4120.5128,4119.4872,4088.2051
4113.8462,4113.8462,4124.1026,4164.6154,4120,4128.2051,4134.8718,4129.2308,4096.4103,4125.1282,4124.1026,4091.7949
4108.2051,4111.7949,4116.4103,4161.0256,4119.4872,4127.6923,4132.8205,4121.0256,4087.6923,4124.6154,4120.5128,4092.3077
4109.7436,4114.8718,4116.4103,4154.359,4121.5385,4132.3077,4131.2821,4122.0513,4089.2308,4123.5897,4114.8718,4089.7436
4127.6923,4124.6154,4141.5385,4175.3846,4131.2821,4148.2051,4145.641,4140,4110.7692,4141.0256,4129.7436,4104.6154
4152.8205,4133.3333,4165.1282,4203.5897,4158.9744,4170.7692,4168.2051,4156.4103,4130.2564,4166.1538,4158.4615,4134.359
4158.9744,4127.1795,4170.2564,4205.1282,4185.641,4184.1026,4176.4103,4161.0256,4137.9487,4174.8718,4171.2821,4144.1026
4152.3077,4123.5897,4168.2051,4197.9487,4172.3077,4181.5385,4173.3333,4162.0513,4143.5897,4173.8462,4171.7949,4137.9487
4155.3846,4127.6923,4163.5897,4201.0256,4154.8718,4174.359,4172.3077,4162.0513,4143.5897,4172.8205,4173.3333,4142.0513
4153.3333,4117.4359,4148.7179,4191.7949,4147.6923,4163.5897,4165.641,4150.7692,4130.2564,4162.5641,4164.6154,4138.4615
4130.7692,4111.2821,4133.8462,4172.3077,4125.1282,4151.2821,4153.3333,4134.8718,4117.4359,4145.1282,4144.1026,4117.4359
4117.4359,4118.9744,4138.4615,4168.7179,4141.5385,4157.4359,4157.4359,4140.5128,4121.5385,4145.641,4139.4872,4116.4103
4123.5897,4120,4145.1282,4167.1795,4183.0769,4169.2308,4169.7436,4151.2821,4122.5641,4152.8205,4145.641,4127.1795
4124.1026,4114.359,4128.2051,4154.8718,4178.9744,4170.2564,4168.2051,4143.0769,4108.2051,4142.5641,4138.9744,4114.359
4112.3077,4112.8205,4116.4103,4151.2821,4161.5385,4167.6923,4164.1026,4141.0256,4100.5128,4134.359,4137.4359,4104.6154
4108.7179,4115.8974,4130.7692,4157.9487,4169.2308,4169.7436,4169.7436,4153.3333,4111.2821,4145.1282,4144.6154,4115.3846
4127.1795,4116.4103,4144.1026,4160.5128,4166.6667,4169.2308,4171.2821,4151.7949,4124.1026,4155.8974,4144.6154,4118.4615
4144.1026,4118.9744,4140.5128,4164.1026,4155.8974,4163.0769,4163.5897,4140.5128,4125.1282,4150.7692,4144.1026,4114.8718
4143.0769,4124.1026,4142.5641,4174.359,4171.7949,4159.4872,4159.4872,4146.6667,4125.641,4154.359,4156.4103,4129.2308
4134.359,4119.4872,4151.2821,4176.9231,4157.4359,4155.8974,4160,4153.3333,4126.6667,4164.1026,4161.5385,4145.1282
4123.5897,4115.8974,4143.5897,4164.6154,4112.8205,4148.7179,4154.8718,4143.5897,4120,4151.7949,4148.2051,4129.7436
4120,4120,4131.2821,4158.9744,4120.5128,4145.1282,4151.2821,4140.5128,4117.4359,4137.9487,4144.6154,4115.8974
4133.3333,4121.5385,4137.4359,4171.2821,4170.7692,4153.8462,4161.0256,4151.2821,4129.7436,4150.2564,4156.4103,4131.7949
4143.5897,4115.8974,4146.1538,4177.4359,4183.0769,4161.0256,4170.7692,4154.359,4138.4615,4162.5641,4158.4615,4142.0513
4133.8462,4111.2821,4144.1026,4171.7949,4161.0256,4156.9231,4167.1795,4147.6923,4138.9744,4157.9487,4153.3333,4130.2564
4123.0769,4113.8462,4141.0256,4165.1282,4156.9231,4154.8718,4160.5128,4151.7949,4137.4359,4152.8205,4150.7692,4121.0256
4116.9231,4113.3333,4138.4615,4159.4872,4156.4103,4154.359,4155.3846,4149.2308,4129.2308,4148.7179,4141.5385,4121.0256
4116.4103,4112.8205,4137.4359,4156.9231,4155.3846,4152.8205,4152.3077,4138.9744,4130.2564,4146.6667,4142.0513,4125.1282
4116.4103,4112.8205,4137.4359,4156.9231,4155.3846,4152.8205,4152.3077,4138.9744,4130.2564,4146.6667,4142.0513,4125.1282
4118.9744,4114.8718,4139.4872,4156.4103,4149.7436,4151.7949,4152.8205,4139.4872,4130.2564,4147.1795,4150.7692,4125.641
4122.5641,4112.8205,4138.4615,4160,4149.7436,4151.7949,4153.8462,4138.4615,4118.4615,4145.641,4144.1026,4120.5128
4128.7179,4118.9744,4141.5385,4171.2821,4183.0769,4156.4103,4154.359,4136.9231,4122.0513,4150.7692,4143.0769,4126.1538
4132.3077,4126.1538,4140.5128,4168.7179,4188.2051,4155.8974,4153.3333,4138.9744,4135.3846,4153.3333,4151.7949,4132.8205
4134.8718,4121.0256,4141.0256,4158.9744,4165.641,4150.7692,4151.2821,4136.9231,4134.359,4151.2821,4149.7436,4129.7436
4140.5128,4120,4152.8205,4168.7179,4186.1538,4158.4615,4153.3333,4137.4359,4136.4103,4157.9487,4150.7692,4135.8974
4144.1026,4121.0256,4151.2821,4176.4103,4206.6667,4164.6154,4154.359,4141.0256,4145.1282,4162.0513,4158.4615,4147.1795
4136.9231,4121.0256,4136.9231,4167.6923,4180,4155.3846,4151.7949,4138.4615,4138.9744,4152.8205,4150.7692,4145.1282
4140,4120,4142.0513,4168.2051,4167.1795,4152.8205,4154.359,4139.4872,4135.3846,4156.4103,4135.3846,4154.359
4164.1026,4116.4103,4160,4173.8462,4172.3077,4150.7692,4149.2308,4134.8718,4143.0769,4173.8462,4133.8462,4193.3333
4164.6154,4114.8718,4158.9744,4167.6923,4156.9231,4138.9744,4137.4359,4122.0513,4140.5128,4168.2051,4138.9744,4204.6154
4140,4115.3846,4146.6667,4163.5897,4155.3846,4142.0513,4142.0513,4129.7436,4132.3077,4151.7949,4137.9487,4163.5897
4144.6154,4118.9744,4149.7436,4168.7179,4168.7179,4152.8205,4151.2821,4142.5641,4130.2564,4160.5128,4139.4872,4157.9487
4177.9487,4117.4359,4163.5897,4169.7436,4174.8718,4151.7949,4150.2564,4135.3846,4137.9487,4176.4103,4153.8462,4209.7436
4175.3846,4111.7949,4158.4615,4157.4359,4164.1026,4150.2564,4146.6667,4128.7179,4148.7179,4169.7436,4185.641,4233.3333
4161.5385,4124.6154,4150.7692,4157.9487,4158.4615,4149.7436,4142.5641,4136.9231,4150.2564,4168.7179,4233.3333,4246.1538
4188.2051,4130.2564,4168.2051,4180.5128,4167.1795,4141.5385,4135.8974,4136.4103,4143.5897,4197.4359,4282.5641,4324.1026
4210.2564,4116.9231,4188.7179,4185.1282,4164.6154,4137.4359,4134.359,4125.641,4141.0256,4212.8205,4322.5641,4390.7692
4212.8205,4119.4872,4195.8974,4174.8718,4157.4359,4140.5128,4134.359,4124.6154,4132.8205,4203.5897,4367.6923,4391.2821
4222.5641,4129.7436,4202.5641,4177.4359,4143.5897,4135.3846,4123.0769,4118.4615,4127.6923,4208.2051,4440.5128,4411.2821
4211.2821,4121.0256,4197.4359,4176.4103,4119.4872,4123.5897,4117.4359,4108.7179,4136.4103,4215.8974,4509.2308,4448.2051
4192.3077,4111.7949,4181.5385,4165.641,4116.9231,4122.0513,4123.0769,4113.8462,4137.4359,4210.7692,4545.641,4457.4359
4204.6154,4118.9744,4186.6667,4165.1282,4138.9744,4131.7949,4129.7436,4125.1282,4126.6667,4208.2051,4582.0513,4468.2051
4219.4872,4126.1538,4202.0513,4168.2051,4147.1795,4137.9487,4132.3077,4126.1538,4131.2821,4217.9487,4637.9487,4499.4872
4233.3333,4128.2051,4202.5641,4170.7692,4143.0769,4136.9231,4133.8462,4123.5897,4143.5897,4230.2564,4672.3077,4529.2308
4238.4615,4131.2821,4198.4615,4173.3333,4148.7179,4137.4359,4137.4359,4124.1026,4132.8205,4222.0513,4667.1795,4527.6923
4200,4121.5385,4197.9487,4170.2564,4142.5641,4138.9744,4137.9487,4121.0256,4120.5128,4204.6154,4666.1538,4505.641
4180.5128,4116.4103,4190.2564,4167.6923,4124.6154,4138.4615,4128.2051,4116.9231,4120,4201.5385,4672.3077,4504.1026
4202.0513,4127.1795,4180,4164.6154,4126.6667,4137.4359,4123.0769,4112.8205,4116.9231,4202.5641,4670.7692,4513.8462
4196.9231,4129.7436,4190.7692,4162.0513,4146.6667,4138.4615,4132.8205,4117.4359,4119.4872,4206.6667,4678.9744,4510.2564
4180.5128,4125.1282,4206.1538,4168.2051,4153.3333,4142.0513,4141.5385,4127.6923,4130.7692,4221.0256,4689.2308,4512.3077
4192.8205,4124.1026,4202.5641,4173.8462,4140,4142.0513,4137.4359,4124.6154,4135.8974,4225.1282,4686.6667,4521.0256
4189.7436,4122.0513,4197.9487,4170.2564,4128.7179,4137.9487,4135.3846,4117.9487,4134.359,4215.3846,4675.8974,4514.8718
4055.3846,4117.9487,4127.6923,4105.641,4104.1026,4127.6923,4132.8205,4130.7692,4120.5128,4136.9231,4132.8205,4140
4049.7436,4112.3077,4120,4107.1795,4101.5385,4117.4359,4131.7949,4126.6667,4122.5641,4131.7949,4134.8718,4137.9487
4048.7179,4111.2821,4124.6154,4105.1282,4122.0513,4131.2821,4135.8974,4125.641,4123.0769,4129.7436,4137.4359,4137.9487
4048.7179,4114.359,4123.0769,4105.641,4128.7179,4140.5128,4137.9487,4122.5641,4112.3077,4126.1538,4125.641,4131.2821
4047.1795,4116.4103,4115.8974,4105.641,4101.5385,4125.641,4131.7949,4118.4615,4106.6667,4124.1026,4122.5641,4127.6923
4048.7179,4118.4615,4126.1538,4107.6923,4097.4359,4121.5385,4132.8205,4123.5897,4112.3077,4127.6923,4136.4103,4133.3333
4053.3333,4117.9487,4137.4359,4113.8462,4125.1282,4129.7436,4136.4103,4128.7179,4114.8718,4130.2564,4136.4103,4136.4103
4056.4103,4113.3333,4129.2308,4112.3077,4130.2564,4128.7179,4131.7949,4126.1538,4112.8205,4125.641,4125.641,4134.359
4064.1026,4112.3077,4128.2051,4110.7692,4116.4103,4129.7436,4131.2821,4130.7692,4118.4615,4128.2051,4133.8462,4135.8974
4064.6154,4116.9231,4140,4117.9487,4122.5641,4138.9744,4138.9744,4138.4615,4123.5897,4140,4143.5897,4137.9487
4051.7949,4117.4359,4134.8718,4118.9744,4131.2821,4138.9744,4142.5641,4134.359,4117.9487,4137.9487,4134.8718,4134.8718
4045.641,4111.7949,4121.0256,4111.2821,4114.8718,4129.7436,4135.8974,4125.641,4108.7179,4124.6154,4124.6154,4128.7179
4043.5897,4111.2821,4121.0256,4109.7436,4093.8462,4123.5897,4129.7436,4122.0513,4105.641,4122.0513,4121.5385,4120
4033.8462,4114.359,4120.5128,4108.2051,4095.8974,4121.5385,4131.7949,4122.5641,4106.1538,4125.1282,4118.9744,4115.3846
4037.4359,4114.359,4117.9487,4105.1282,4116.4103,4128.2051,4137.4359,4126.1538,4107.1795,4124.6154,4117.4359,4123.0769
4054.8718,4117.4359,4126.1538,4110.2564,4129.2308,4137.4359,4138.9744,4127.1795,4107.6923,4130.7692,4121.5385,4135.8974
4062.0513,4117.4359,4128.7179,4111.7949,4121.5385,4134.359,4135.3846,4126.1538,4108.7179,4140,4125.641,4140
4060.5128,4116.4103,4124.6154,4105.1282,4116.4103,4126.6667,4135.3846,4135.3846,4111.7949,4140.5128,4124.1026,4137.4359
4058.4615,4118.9744,4128.7179,4105.641,4120,4124.1026,4136.9231,4145.1282,4113.3333,4138.4615,4120.5128,4133.3333
4053.8462,4114.8718,4132.8205,4109.7436,4112.8205,4128.7179,4138.4615,4138.9744,4111.7949,4140,4120.5128,4130.2564
4050.7692,4113.8462,4127.6923,4109.2308,4108.2051,4133.8462,4140,4130.7692,4112.3077,4142.0513,4123.0769,4136.4103
4051.7949,4118.9744,4124.6154,4108.7179,4118.9744,4138.4615,4140,4129.7436,4113.8462,4138.4615,4118.9744,4139.4872
4045.1282,4117.4359,4123.5897,4107.6923,4111.7949,4136.4103,4138.9744,4121.5385,4107.1795,4128.2051,4106.6667,4126.1538
4035.3846,4112.3077,4117.4359,4105.1282,4095.3846,4129.2308,4137.9487,4114.359,4098.9744,4119.4872,4100,4117.9487
4034.8718,4111.7949,4120.5128,4099.4872,4106.6667,4129.2308,4138.4615,4122.0513,4104.6154,4123.5897,4108.7179,4124.6154
4037.9487,4114.359,4124.6154,4095.3846,4110.2564,4128.7179,4136.4103,4126.1538,4109.2308,4126.1538,4113.8462,4121.0256
4044.6154,4115.3846,4119.4872,4100,4095.3846,4126.1538,4134.359,4120,4108.7179,4126.1538,4112.3077,4116.9231
4057.4359,4120,4125.641,4115.3846,4111.2821,4131.2821,4138.9744,4123.0769,4116.9231,4140.5128,4124.6154,4133.3333
4063.0769,4122.0513,4142.5641,4125.641,4145.641,4138.9744,4141.5385,4128.7179,4127.1795,4150.2564,4137.9487,4148.7179
4057.9487,4116.4103,4144.6154,4117.4359,4138.9744,4136.4103,4136.9231,4124.6154,4126.6667,4144.6154,4130.2564,4150.2564
4060.5128,4113.8462,4131.7949,4105.1282,4116.9231,4127.6923,4136.4103,4129.2308,4124.1026,4147.6923,4121.0256,4146.1538
4062.5641,4116.9231,4127.1795,4106.1538,4124.1026,4126.1538,4140.5128,4137.9487,4131.7949,4156.9231,4127.6923,4145.641
4049.2308,4114.359,4126.6667,4108.2051,4121.0256,4123.5897,4133.8462,4127.6923,4127.1795,4144.1026,4123.5897,4135.8974
4046.1538,4111.2821,4123.5897,4106.1538,4106.6667,4120.5128,4124.1026,4116.4103,4108.2051,4129.7436,4105.641,4120
4058.4615,4115.8974,4131.7949,4117.4359,4121.5385,4123.5897,4130.7692,4121.0256,4110.2564,4139.4872,4108.7179,4126.6667
4054.8718,4121.0256,4142.0513,4123.5897,4134.359,4125.641,4139.4872,4124.1026,4122.0513,4144.1026,4123.0769,4142.0513
4046.1538,4118.4615,4138.9744,4109.2308,4122.5641,4123.0769,4132.8205,4118.9744,4116.4103,4131.7949,4121.0256,4132.8205
