"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4094.359,3908.7179,4114.8718,4189.7436,4105.1282,4118.9744,4106.6667,4106.1538,4156.9231,4096.9231,4085.641,4081.5385
4118.9744,3937.9487,4138.4615,4212.3077,4114.8718,4102.0513,4107.1795,4116.9231,4176.4103,4109.7436,4109.7436,4105.641
4121.5385,3945.1282,4147.1795,4221.0256,4113.8462,4090.2564,4103.0769,4115.8974,4172.8205,4111.2821,4110.7692,4111.2821
4116.9231,3930.2564,4138.9744,4206.1538,4119.4872,4106.1538,4106.1538,4111.2821,4156.4103,4111.7949,4096.9231,4102.0513
4110.7692,3912.8205,4128.7179,4191.2821,4124.6154,4116.9231,4107.1795,4097.4359,4140.5128,4111.2821,4083.5897,4089.2308
4112.3077,3909.2308,4132.3077,4190.2564,4120,4108.2051,4106.1538,4104.1026,4151.2821,4116.4103,4093.8462,4094.8718
4115.8974,3909.7436,4138.9744,4193.8462,4127.1795,4100,4105.1282,4114.359,4158.4615,4124.1026,4100.5128,4102.5641
4109.2308,3906.6667,4135.3846,4189.7436,4132.8205,4094.359,4103.5897,4097.9487,4137.9487,4122.5641,4081.5385,4093.3333
4101.0256,3901.5385,4125.641,4182.0513,4122.5641,4096.9231,4107.1795,4090.2564,4130.2564,4116.9231,4073.3333,4087.1795
4098.4615,3894.359,4121.5385,4180,4117.9487,4096.4103,4104.1026,4097.9487,4133.8462,4114.8718,4077.9487,4085.641
4104.1026,3902.5641,4124.1026,4184.1026,4130.2564,4084.6154,4096.9231,4098.4615,4128.2051,4117.4359,4077.4359,4084.6154
4106.1538,3907.1795,4121.0256,4178.9744,4124.1026,4078.4615,4098.9744,4089.2308,4122.0513,4119.4872,4072.3077,4082.0513
4102.0513,3885.641,4116.4103,4166.1538,4108.2051,4084.1026,4103.5897,4085.1282,4123.0769,4118.9744,4068.7179,4080.5128
4108.2051,3873.8462,4120,4165.1282,4125.641,4090.2564,4104.1026,4094.8718,4123.5897,4123.5897,4070.7692,4087.6923
4120.5128,3887.1795,4128.7179,4170.2564,4133.3333,4092.3077,4110.7692,4101.5385,4123.0769,4129.2308,4078.4615,4094.8718
4130.7692,3898.4615,4141.5385,4175.3846,4126.1538,4096.9231,4117.4359,4100.5128,4133.8462,4140,4091.2821,4104.1026
4130.7692,3889.7436,4149.2308,4176.9231,4137.4359,4094.8718,4106.6667,4097.4359,4137.4359,4143.5897,4091.2821,4107.6923
4123.0769,3879.4872,4143.5897,4167.6923,4137.9487,4093.3333,4103.0769,4092.8205,4125.1282,4135.8974,4081.5385,4101.0256
4129.2308,3891.2821,4147.1795,4168.7179,4125.641,4094.359,4111.2821,4096.9231,4131.7949,4141.0256,4094.8718,4106.6667
4137.9487,3894.359,4154.359,4174.359,4129.7436,4081.0256,4107.1795,4102.0513,4138.9744,4147.6923,4105.1282,4111.7949
4132.8205,3883.5897,4146.6667,4167.6923,4141.0256,4076.9231,4108.2051,4098.9744,4125.641,4145.641,4090.2564,4106.1538
4117.4359,3875.3846,4135.3846,4154.359,4129.7436,4085.641,4116.4103,4094.8718,4115.3846,4136.4103,4073.3333,4093.3333
4105.641,3856.4103,4132.3077,4147.1795,4113.8462,4089.2308,4110.7692,4096.4103,4107.6923,4127.1795,4062.5641,4077.4359
4116.4103,3853.8462,4138.4615,4153.8462,4116.9231,4090.2564,4109.7436,4108.7179,4109.7436,4135.3846,4066.6667,4091.7949
4108.2051,3851.7949,4136.9231,4157.4359,4104.6154,4086.6667,4115.8974,4104.1026,4109.2308,4137.4359,4064.6154,4095.8974
4088.2051,3829.2308,4128.7179,4150.7692,4093.3333,4079.4872,4112.8205,4094.359,4098.9744,4129.7436,4054.8718,4073.3333
4120.5128,3846.6667,4135.3846,4147.1795,4120.5128,4080.5128,4109.7436,4110.2564,4098.4615,4135.3846,4063.0769,4085.641
4148.7179,3881.5385,4143.0769,4147.6923,4123.0769,4083.0769,4114.359,4120.5128,4106.6667,4147.1795,4077.4359,4113.8462
4127.1795,3860,4139.4872,4145.1282,4098.4615,4087.1795,4116.4103,4115.8974,4114.359,4149.7436,4085.641,4113.3333
4121.0256,3840.5128,4141.5385,4140,4117.4359,4091.7949,4118.4615,4116.4103,4118.4615,4147.6923,4084.1026,4105.641
4149.7436,3882.0513,4152.8205,4138.4615,4154.8718,4084.1026,4127.1795,4131.2821,4128.2051,4157.9487,4088.2051,4120.5128
4140.5128,3875.8974,4143.5897,4125.641,4145.1282,4085.641,4121.5385,4135.8974,4127.6923,4156.4103,4093.8462,4113.3333
4098.9744,3809.2308,4121.0256,4106.1538,4117.9487,4106.1538,4108.7179,4112.3077,4095.8974,4131.7949,4070.2564,4074.359
4116.9231,3833.8462,4136.4103,4117.9487,4114.8718,4106.1538,4114.8718,4106.6667,4095.3846,4135.3846,4073.8462,4093.8462
4164.6154,3904.6154,4169.7436,4141.5385,4115.8974,4077.9487,4125.641,4125.1282,4131.7949,4163.0769,4114.359,4148.7179
4160.5128,3894.8718,4167.1795,4124.6154,4143.0769,4081.0256,4120.5128,4117.9487,4127.1795,4164.1026,4103.0769,4148.7179
4269.7436,3842.0513,4176.9231,4049.7436,4123.5897,4069.2308,4102.0513,4086.1538,4135.3846,4159.4872,4181.5385,4311.7949
4227.6923,3771.2821,4174.8718,4053.3333,4073.3333,4059.4872,4096.4103,4087.1795,4105.1282,4149.2308,4155.8974,4267.1795
4212.8205,3724.6154,4169.2308,4053.8462,4076.9231,4053.3333,4090.7692,4075.8974,4087.1795,4143.0769,4147.1795,4262.0513
4246.6667,3747.6923,4159.4872,4019.4872,4120.5128,4060,4094.8718,4078.4615,4107.6923,4152.8205,4171.7949,4302.0513
4251.2821,3717.4359,4158.9744,3992.3077,4101.5385,4060.5128,4098.9744,4091.7949,4124.1026,4166.1538,4190.2564,4325.1282
4241.0256,3676.4103,4164.6154,3996.9231,4083.0769,4058.9744,4090.7692,4086.1538,4119.4872,4169.7436,4190.2564,4359.4872
4243.5897,3689.7436,4165.1282,3994.8718,4114.8718,4065.641,4086.1538,4075.8974,4113.3333,4167.1795,4184.1026,4402.5641
4240,3662.5641,4167.6923,3991.7949,4115.3846,4069.7436,4096.4103,4085.1282,4108.7179,4164.6154,4163.5897,4419.4872
4244.6154,3627.1795,4176.4103,3995.8974,4090.7692,4069.7436,4104.6154,4081.5385,4100,4163.5897,4130.2564,4449.2308
4280,3678.4615,4177.9487,3991.7949,4105.1282,4070.2564,4098.9744,4072.3077,4105.641,4168.7179,4125.641,4495.8974
4272.8205,3661.0256,4165.1282,3984.6154,4104.6154,4067.6923,4088.2051,4076.4103,4101.0256,4161.5385,4130.2564,4491.7949
4229.7436,3577.4359,4160.5128,3973.3333,4098.4615,4076.9231,4088.7179,4077.4359,4081.5385,4151.2821,4116.4103,4473.8462
4251.2821,3619.4872,4174.8718,3967.1795,4130.7692,4101.0256,4103.0769,4090.7692,4091.7949,4163.5897,4125.1282,4506.1538
4279.4872,3658.9744,4181.5385,3971.7949,4130.7692,4106.1538,4114.8718,4103.0769,4115.3846,4173.3333,4146.1538,4537.4359
4268.7179,3617.4359,4177.4359,3965.641,4111.7949,4088.7179,4112.8205,4099.4872,4116.4103,4170.7692,4142.0513,4547.1795
4263.0769,3604.1026,4172.3077,3946.6667,4109.7436,4086.1538,4102.0513,4089.7436,4091.2821,4164.6154,4110.7692,4542.5641
4240,3567.6923,4159.4872,3940.5128,4093.8462,4094.8718,4103.5897,4080,4057.9487,4148.7179,4077.9487,4511.2821
4221.0256,3530.2564,4157.9487,3939.4872,4090.7692,4085.641,4109.7436,4082.0513,4055.3846,4143.0769,4078.4615,4512.8205
