"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4066.1538,4077.4359,4097.4359,4071.2821,4094.359,4089.7436,4111.2821,4081.5385,4095.8974,4072.3077,4049.7436,4069.2308
4083.0769,4088.7179,4102.0513,4071.7949,4091.2821,4086.1538,4117.4359,4080.5128,4103.5897,4076.4103,4053.3333,4079.4872
4086.1538,4094.8718,4108.7179,4071.7949,4063.0769,4074.8718,4116.9231,4081.0256,4104.6154,4082.0513,4065.641,4086.6667
4077.9487,4094.8718,4107.1795,4069.7436,4081.0256,4086.1538,4114.8718,4077.4359,4103.0769,4081.0256,4068.7179,4078.4615
4074.8718,4094.359,4102.5641,4072.3077,4113.8462,4099.4872,4120.5128,4075.8974,4107.6923,4079.4872,4070.7692,4070.7692
4076.9231,4102.5641,4107.6923,4070.2564,4109.2308,4097.9487,4125.641,4085.1282,4111.7949,4082.5641,4078.9744,4078.4615
4083.0769,4097.4359,4114.8718,4062.0513,4098.9744,4095.3846,4123.5897,4092.8205,4110.2564,4088.7179,4077.9487,4088.2051
4092.8205,4084.6154,4111.7949,4062.5641,4098.4615,4097.9487,4122.5641,4095.3846,4113.3333,4093.8462,4081.0256,4088.7179
4089.2308,4086.6667,4109.2308,4066.1538,4095.3846,4093.3333,4120,4096.9231,4107.1795,4092.8205,4089.7436,4085.641
4077.4359,4093.3333,4111.2821,4059.4872,4107.6923,4087.6923,4110.7692,4091.7949,4095.3846,4089.7436,4085.1282,4087.6923
4085.1282,4095.3846,4114.359,4062.0513,4100.5128,4090.7692,4110.7692,4085.1282,4105.1282,4094.8718,4087.6923,4101.0256
4097.4359,4092.8205,4120.5128,4074.359,4070.7692,4089.7436,4116.9231,4089.2308,4117.4359,4099.4872,4097.4359,4101.5385
4089.2308,4089.2308,4119.4872,4071.2821,4087.1795,4086.1538,4108.2051,4088.7179,4109.2308,4092.3077,4086.1538,4084.1026
4075.8974,4089.7436,4113.8462,4061.5385,4112.8205,4084.1026,4096.9231,4076.9231,4101.5385,4083.0769,4080.5128,4076.9231
4075.3846,4094.359,4117.4359,4055.8974,4088.2051,4080.5128,4096.9231,4071.2821,4104.1026,4085.641,4084.6154,4087.6923
4077.9487,4087.1795,4117.9487,4045.1282,4072.8205,4079.4872,4097.4359,4078.4615,4109.7436,4089.2308,4076.4103,4089.2308
4074.8718,4067.6923,4104.6154,4033.8462,4087.1795,4076.9231,4094.359,4076.9231,4112.8205,4085.1282,4061.0256,4071.2821
4087.1795,4074.359,4102.5641,4037.4359,4084.6154,4079.4872,4096.9231,4074.8718,4109.7436,4086.1538,4064.1026,4068.2051
4104.1026,4096.9231,4112.3077,4049.7436,4075.8974,4084.6154,4100,4080.5128,4110.7692,4093.3333,4079.4872,4079.4872
4094.8718,4094.8718,4109.7436,4048.7179,4089.7436,4084.1026,4101.0256,4080,4112.3077,4090.2564,4071.2821,4072.3077
4085.1282,4086.1538,4101.0256,4044.1026,4098.4615,4090.2564,4107.6923,4082.5641,4114.359,4083.0769,4065.1282,4067.1795
4086.1538,4085.641,4098.9744,4044.6154,4084.6154,4097.4359,4108.7179,4082.5641,4111.2821,4082.0513,4077.4359,4076.4103
4082.5641,4084.6154,4103.0769,4042.5641,4088.7179,4094.359,4101.5385,4073.8462,4109.7436,4080,4085.641,4083.5897
4082.5641,4092.8205,4104.1026,4035.8974,4103.5897,4088.2051,4095.8974,4070.2564,4113.3333,4070.2564,4082.5641,4085.1282
4089.7436,4102.5641,4103.0769,4037.9487,4088.7179,4083.0769,4093.8462,4070.2564,4110.2564,4070.2564,4079.4872,4081.5385
4100,4112.3077,4109.7436,4053.8462,4083.5897,4083.5897,4095.3846,4077.4359,4118.4615,4081.0256,4086.6667,4088.7179
4097.4359,4110.7692,4115.3846,4061.0256,4094.8718,4083.5897,4093.3333,4080.5128,4125.641,4078.9744,4082.5641,4092.8205
