"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4125.641,4124.6154,4111.7949,4106.1538,4069.2308,4099.4872,4112.3077,4127.1795,4144.6154,4133.3333,4126.1538,4106.6667
4131.2821,4130.2564,4125.641,4105.641,4155.8974,4128.2051,4123.5897,4134.359,4156.9231,4135.8974,4140,4125.641
4149.7436,4136.4103,4140,4111.7949,4203.0769,4154.8718,4141.0256,4141.0256,4153.8462,4148.2051,4146.6667,4135.3846
4158.4615,4134.359,4140.5128,4130.2564,4147.1795,4138.4615,4140.5128,4140.5128,4151.2821,4150.7692,4134.8718,4127.6923
4153.8462,4127.1795,4130.7692,4132.3077,4097.4359,4109.2308,4127.1795,4135.3846,4157.4359,4140,4125.641,4124.6154
4153.3333,4132.3077,4134.359,4118.9744,4130.2564,4121.0256,4130.7692,4138.4615,4157.4359,4143.5897,4135.8974,4137.9487
4147.1795,4135.8974,4133.3333,4117.4359,4165.1282,4151.7949,4142.0513,4142.0513,4144.1026,4143.0769,4136.9231,4133.3333
4140.5128,4134.359,4124.6154,4126.1538,4162.5641,4148.2051,4140.5128,4144.1026,4141.0256,4135.8974,4134.8718,4118.4615
4140,4132.3077,4117.4359,4119.4872,4107.1795,4112.3077,4117.9487,4133.3333,4138.9744,4132.3077,4135.3846,4117.4359
4139.4872,4127.6923,4109.2308,4112.8205,4066.1538,4099.4872,4103.5897,4117.4359,4124.6154,4122.5641,4121.5385,4115.3846
4152.3077,4136.9231,4128.2051,4137.9487,4138.4615,4129.7436,4127.6923,4130.7692,4137.4359,4135.3846,4131.2821,4122.5641
4172.3077,4144.1026,4155.3846,4167.1795,4212.8205,4157.9487,4148.7179,4148.7179,4162.0513,4168.2051,4167.1795,4144.1026
4167.6923,4134.8718,4150.7692,4167.1795,4169.7436,4148.2051,4133.3333,4138.4615,4144.6154,4159.4872,4156.9231,4142.5641
4163.0769,4136.4103,4148.2051,4170.2564,4112.3077,4123.0769,4127.1795,4134.359,4137.4359,4150.7692,4140,4140.5128
4164.1026,4141.5385,4153.8462,4176.4103,4124.6154,4118.4615,4135.3846,4135.3846,4153.3333,4170.7692,4156.9231,4149.2308
4142.5641,4130.7692,4123.0769,4158.9744,4124.6154,4126.6667,4117.4359,4115.8974,4125.1282,4147.6923,4137.9487,4118.4615
4152.3077,4134.359,4116.9231,4163.0769,4142.5641,4138.9744,4117.4359,4126.6667,4114.359,4134.8718,4128.2051,4118.4615
4193.3333,4149.7436,4157.9487,4195.3846,4190.2564,4150.7692,4145.641,4154.8718,4151.7949,4173.8462,4167.1795,4168.7179
4184.1026,4141.0256,4158.9744,4200.5128,4146.6667,4129.2308,4136.4103,4141.5385,4156.9231,4174.8718,4173.3333,4164.1026
4139.4872,4120.5128,4121.5385,4175.3846,4091.2821,4114.8718,4110.7692,4121.5385,4123.5897,4132.8205,4142.0513,4117.9487
4133.3333,4129.2308,4116.9231,4168.7179,4165.1282,4156.4103,4128.2051,4133.3333,4122.5641,4128.2051,4138.9744,4119.4872
4160,4144.6154,4135.3846,4182.0513,4194.359,4165.641,4146.1538,4143.0769,4148.7179,4151.2821,4150.7692,4148.7179
4170.7692,4134.8718,4139.4872,4183.5897,4105.1282,4117.9487,4132.3077,4137.4359,4152.3077,4155.8974,4147.6923,4149.2308
4166.6667,4129.7436,4138.9744,4186.6667,4105.1282,4114.8718,4130.2564,4140,4137.9487,4157.4359,4150.2564,4141.5385
4165.641,4136.4103,4136.9231,4195.3846,4177.9487,4149.2308,4141.0256,4139.4872,4132.3077,4160,4154.359,4140.5128
4167.6923,4138.9744,4131.7949,4195.3846,4168.2051,4148.7179,4137.9487,4133.3333,4138.4615,4153.8462,4146.1538,4137.4359
4167.6923,4137.9487,4137.9487,4196.4103,4155.3846,4144.1026,4135.3846,4140.5128,4142.5641,4153.3333,4145.641,4141.0256
4176.9231,4138.4615,4154.8718,4205.641,4172.8205,4150.2564,4142.5641,4155.3846,4155.8974,4176.9231,4170.7692,4162.5641
4172.8205,4131.7949,4146.6667,4197.9487,4116.4103,4122.5641,4126.1538,4142.0513,4153.3333,4175.8974,4170.7692,4156.9231
4148.7179,4122.0513,4120.5128,4178.9744,4105.1282,4114.8718,4106.1538,4115.3846,4119.4872,4135.3846,4135.3846,4123.5897
4152.8205,4133.3333,4129.7436,4183.5897,4187.6923,4153.3333,4125.1282,4134.359,4118.9744,4135.8974,4139.4872,4127.6923
4181.0256,4144.1026,4156.9231,4192.8205,4195.3846,4159.4872,4148.7179,4163.5897,4157.9487,4175.3846,4182.0513,4163.0769
4176.4103,4130.2564,4145.641,4189.2308,4133.3333,4130.7692,4135.3846,4141.5385,4157.9487,4168.7179,4173.8462,4162.5641
4138.4615,4120,4115.8974,4178.4615,4121.5385,4126.6667,4114.359,4116.4103,4124.1026,4128.7179,4111.7949,4113.3333
4151.2821,4134.359,4133.8462,4188.7179,4174.359,4150.7692,4130.7692,4146.6667,4149.2308,4153.8462,4127.1795,4121.0256
4193.8462,4147.1795,4165.641,4214.8718,4174.8718,4141.5385,4145.1282,4168.7179,4194.359,4197.9487,4195.3846,4182.0513
