"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4112.3077,4116.4103,4078.9744,4037.9487,4116.9231,4102.5641,4095.8974,4068.7179,4237.4359,4032.3077,4328.7179,4085.1282
4078.9744,4107.1795,4075.8974,4021.0256,4112.3077,4110.2564,4088.2051,4054.8718,4222.5641,4029.2308,4309.2308,4065.641
4048.7179,4108.2051,4082.5641,4030.7692,4121.0256,4106.6667,4086.1538,4046.1538,4289.2308,3975.8974,4325.641,4037.4359
4057.9487,4105.641,4085.1282,4037.9487,4098.9744,4092.8205,4084.6154,4069.2308,4231.2821,4008.7179,4308.2051,4058.4615
4081.5385,4111.2821,4105.641,4037.9487,4104.1026,4091.2821,4093.3333,4077.4359,4213.8462,4087.1795,4323.5897,4099.4872
4080,4112.3077,4118.4615,4039.4872,4153.3333,4113.3333,4101.5385,4066.1538,4343.0769,4067.1795,4330.7692,4095.3846
4053.8462,4099.4872,4094.8718,4032.3077,4133.3333,4113.3333,4081.5385,4054.8718,4366.6667,3991.7949,4283.0769,4067.1795
4052.8205,4105.641,4087.6923,4039.4872,4089.2308,4087.1795,4072.8205,4058.9744,4257.4359,4023.0769,4272.8205,4077.9487
4087.1795,4124.6154,4127.6923,4068.2051,4137.9487,4100,4108.2051,4074.359,4255.3846,4096.9231,4343.0769,4095.8974
4075.8974,4114.359,4125.1282,4059.4872,4151.7949,4124.6154,4111.7949,4072.3077,4302.5641,4050.2564,4364.1026,4065.641
4016.4103,4093.8462,4078.4615,4023.5897,4078.9744,4106.6667,4072.8205,4058.9744,4261.5385,3993.3333,4279.4872,4045.1282
4031.2821,4106.1538,4100.5128,4040,4111.2821,4100,4084.6154,4074.8718,4269.2308,4026.1538,4286.1538,4067.6923
4081.5385,4123.0769,4141.5385,4068.7179,4186.1538,4119.4872,4117.4359,4088.2051,4320.5128,4055.8974,4344.6154,4095.8974
4061.0256,4112.3077,4122.0513,4047.1795,4132.3077,4110.2564,4102.0513,4083.0769,4313.8462,4072.8205,4287.6923,4118.9744
4022.5641,4102.0513,4097.9487,4020,4089.7436,4095.8974,4086.6667,4076.9231,4281.0256,4079.4872,4241.0256,4103.5897
4012.3077,4109.2308,4102.5641,4022.5641,4129.7436,4105.1282,4093.3333,4066.6667,4263.5897,4026.1538,4286.1538,4062.5641
4007.1795,4113.8462,4105.641,4026.6667,4109.2308,4107.6923,4096.9231,4063.0769,4238.9744,3997.9487,4294.359,4047.6923
3998.9744,4109.7436,4094.359,4024.1026,4085.1282,4117.4359,4102.5641,4062.5641,4243.0769,4043.0769,4262.0513,4052.8205
3991.7949,4111.7949,4100.5128,4029.2308,4135.8974,4128.2051,4113.3333,4088.2051,4282.0513,4062.0513,4271.7949,4069.7436
3990.7692,4116.9231,4116.9231,4029.2308,4148.2051,4109.2308,4111.7949,4106.1538,4267.6923,4033.3333,4281.5385,4091.2821
4002.5641,4117.9487,4113.8462,4024.6154,4116.4103,4099.4872,4103.0769,4073.3333,4247.6923,4024.6154,4273.3333,4094.8718
3989.7436,4112.3077,4093.3333,4021.0256,4114.359,4118.4615,4097.4359,4055.8974,4276.4103,4030.2564,4253.8462,4066.1538
3976.4103,4117.4359,4109.2308,4021.5385,4136.4103,4126.1538,4102.5641,4086.1538,4282.0513,4046.1538,4241.5385,4068.2051
