"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4114.8718,4132.3077,4111.7949,4128.7179,4108.2051,4074.8718,4141.0256,4131.7949,4130.2564,4115.8974,4149.7436,4115.3846
4104.1026,4129.7436,4103.0769,4118.9744,4099.4872,4068.7179,4141.0256,4136.4103,4128.2051,4112.3077,4144.1026,4102.5641
4102.0513,4130.7692,4105.1282,4115.3846,4107.6923,4071.2821,4148.7179,4142.5641,4129.2308,4118.9744,4133.8462,4101.0256
4106.1538,4128.7179,4103.5897,4120,4112.8205,4071.2821,4149.2308,4140.5128,4130.7692,4120.5128,4132.8205,4106.6667
4103.0769,4128.2051,4100.5128,4117.4359,4109.2308,4070.2564,4148.7179,4138.9744,4128.7179,4111.7949,4135.3846,4102.5641
4111.2821,4129.2308,4115.3846,4127.6923,4112.8205,4083.5897,4164.6154,4148.7179,4135.3846,4117.9487,4147.1795,4114.359
4110.2564,4127.6923,4111.2821,4123.5897,4106.1538,4077.4359,4155.8974,4135.3846,4132.8205,4117.4359,4132.8205,4106.1538
4114.8718,4130.7692,4107.6923,4120,4107.1795,4078.4615,4153.3333,4131.7949,4131.2821,4118.9744,4137.9487,4101.5385
4123.0769,4136.4103,4117.9487,4125.641,4112.3077,4083.5897,4153.8462,4138.4615,4137.4359,4123.5897,4163.0769,4114.8718
4127.1795,4142.0513,4123.0769,4129.7436,4108.2051,4075.3846,4139.4872,4134.8718,4138.4615,4125.1282,4161.5385,4119.4872
4129.7436,4136.9231,4127.6923,4138.9744,4108.2051,4083.0769,4147.6923,4139.4872,4139.4872,4128.7179,4156.9231,4122.5641
4115.8974,4130.7692,4118.4615,4131.2821,4110.7692,4081.0256,4148.2051,4133.8462,4132.8205,4118.4615,4141.0256,4107.1795
4118.9744,4139.4872,4116.9231,4134.8718,4121.0256,4082.5641,4146.6667,4131.2821,4132.3077,4118.9744,4142.0513,4105.1282
4129.2308,4136.4103,4123.0769,4138.4615,4112.3077,4088.2051,4146.6667,4133.8462,4137.9487,4128.2051,4157.4359,4116.4103
4123.5897,4124.6154,4120,4124.6154,4094.8718,4085.641,4143.0769,4130.2564,4136.9231,4128.2051,4153.3333,4112.8205
4128.7179,4129.2308,4123.5897,4133.3333,4107.1795,4095.8974,4158.4615,4138.9744,4140.5128,4136.9231,4159.4872,4119.4872
4129.7436,4133.3333,4122.5641,4139.4872,4118.9744,4087.1795,4149.7436,4134.8718,4136.9231,4131.7949,4157.4359,4114.8718
