"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4164.6154,4164.1026,4113.8462,4234.8718,4107.6923,4038.4615,4085.641,4144.1026,4156.9231,4135.8974,4157.4359,4151.7949
4128.2051,4148.2051,4086.1538,4201.5385,4111.2821,4122.0513,4103.0769,4116.9231,4127.1795,4107.6923,4122.0513,4119.4872
4141.0256,4162.0513,4092.8205,4217.4359,4160,4153.8462,4112.3077,4133.3333,4130.2564,4109.7436,4129.2308,4126.6667
4168.2051,4165.641,4116.9231,4243.5897,4157.4359,4083.0769,4104.1026,4165.1282,4155.8974,4137.4359,4162.0513,4153.8462
4140.5128,4153.3333,4101.5385,4221.0256,4121.0256,4093.3333,4098.9744,4144.6154,4141.0256,4128.7179,4142.5641,4132.8205
4121.5385,4147.1795,4088.7179,4205.1282,4131.7949,4152.8205,4106.6667,4130.2564,4127.6923,4116.9231,4119.4872,4113.3333
4137.4359,4157.4359,4107.1795,4218.4615,4147.6923,4131.7949,4115.8974,4154.359,4138.4615,4131.7949,4130.7692,4128.7179
4137.4359,4159.4872,4110.7692,4215.3846,4131.7949,4092.3077,4105.1282,4148.2051,4134.8718,4135.3846,4136.4103,4131.7949
4125.1282,4145.1282,4091.7949,4199.4872,4114.359,4110.2564,4089.2308,4121.0256,4120,4121.5385,4121.0256,4118.4615
4124.1026,4149.2308,4086.6667,4201.0256,4121.5385,4137.9487,4091.7949,4126.1538,4120,4117.9487,4114.8718,4114.359
4129.7436,4151.2821,4093.3333,4205.1282,4137.9487,4130.7692,4106.6667,4131.2821,4125.641,4125.641,4122.0513,4120
4129.2308,4144.6154,4095.8974,4196.9231,4142.0513,4107.6923,4106.6667,4121.0256,4128.7179,4127.6923,4125.641,4124.1026
4142.5641,4153.8462,4108.7179,4209.2308,4153.8462,4091.2821,4105.641,4141.5385,4148.2051,4140.5128,4141.5385,4136.9231
4159.4872,4155.3846,4123.0769,4235.3846,4149.2308,4092.8205,4114.8718,4161.5385,4163.5897,4159.4872,4161.5385,4151.2821
4148.2051,4147.1795,4121.5385,4233.3333,4126.1538,4104.6154,4112.8205,4138.9744,4150.7692,4152.3077,4153.8462,4141.0256
4132.8205,4143.5897,4116.4103,4213.8462,4143.0769,4110.2564,4104.6154,4124.1026,4136.4103,4135.3846,4135.8974,4123.0769
4137.4359,4148.2051,4115.8974,4206.1538,4169.7436,4090.2564,4102.0513,4136.4103,4140,4137.4359,4140.5128,4127.6923
4137.4359,4148.7179,4111.2821,4204.1026,4131.7949,4065.1282,4103.0769,4143.0769,4143.0769,4141.0256,4150.2564,4134.359
