"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
5607.1795,4391.2821,4086.1538,5461.0256,4225.1282,4118.9744,4121.0256,4169.7436,4085.1282,4147.1795,5733.3333,3687.6923
5557.9487,4361.5385,4075.8974,5389.2308,4193.8462,4116.4103,4117.4359,4152.3077,4114.8718,4129.7436,5691.7949,3677.9487
5524.1026,4360,4075.8974,5341.0256,4186.6667,4119.4872,4121.5385,4147.6923,4175.3846,4136.4103,5607.1795,3655.3846
5521.0256,4355.8974,4093.8462,5328.2051,4208.7179,4122.0513,4134.359,4155.8974,4204.1026,4151.2821,5568.2051,3680.5128
5492.3077,4349.2308,4095.3846,5312.3077,4208.7179,4127.6923,4138.9744,4155.3846,4205.641,4143.5897,5570.7692,3715.3846
5453.8462,4349.2308,4088.7179,5278.4615,4192.8205,4135.3846,4133.8462,4154.8718,4209.7436,4132.3077,5548.2051,3714.8718
5442.0513,4339.4872,4091.2821,5244.6154,4198.9744,4140,4130.2564,4166.1538,4212.8205,4138.9744,5496.9231,3705.641
5432.3077,4332.8205,4088.7179,5220.5128,4201.0256,4141.0256,4133.3333,4170.7692,4202.0513,4143.0769,5465.1282,3714.359
5396.9231,4323.5897,4076.4103,5142.5641,4170.7692,4140.5128,4134.8718,4158.9744,4194.359,4136.4103,5445.1282,3725.1282
5361.0256,4313.8462,4074.359,4961.0256,4146.6667,4137.4359,4136.4103,4152.8205,4202.0513,4137.9487,5404.6154,3720.5128
5354.359,4310.7692,4082.5641,4788.2051,4149.7436,4135.8974,4145.641,4163.0769,4207.6923,4145.641,5355.3846,3721.5385
5349.7436,4304.6154,4077.9487,4724.1026,4148.7179,4138.9744,4149.7436,4170.2564,4213.8462,4143.5897,5293.3333,3710.2564
5327.6923,4308.2051,4065.641,4699.4872,4128.2051,4134.359,4147.6923,4166.1538,4235.8974,4132.8205,5229.2308,3692.3077
5322.0513,4305.641,4066.1538,4666.1538,4127.6923,4132.8205,4149.2308,4164.1026,4281.5385,4135.3846,5175.3846,3720
5327.6923,4297.9487,4075.8974,4658.4615,4146.6667,4146.1538,4157.9487,4168.7179,4321.5385,4156.9231,5136.4103,3749.2308
5299.4872,4303.0769,4081.0256,4663.5897,4152.3077,4155.8974,4163.5897,4176.4103,4318.4615,4158.4615,5146.1538,3752.8205
5260,4296.4103,4079.4872,4651.2821,4153.8462,4155.3846,4166.1538,4183.5897,4308.7179,4141.0256,5184.1026,3778.4615
5235.8974,4285.641,4076.4103,4605.641,4150.2564,4153.3333,4168.2051,4185.1282,4332.8205,4133.8462,5169.7436,3784.6154
5216.4103,4277.9487,4074.359,4556.9231,4125.641,4153.8462,4166.1538,4182.5641,4358.4615,4133.3333,5124.6154,3765.1282
5210.2564,4269.7436,4075.8974,4525.641,4108.2051,4151.7949,4164.6154,4183.5897,4352.3077,4130.2564,5129.7436,3785.1282
5195.8974,4270.2564,4075.3846,4441.5385,4125.641,4152.8205,4169.7436,4189.2308,4363.5897,4136.4103,5142.0513,3798.4615
5164.1026,4267.6923,4077.9487,4318.4615,4142.0513,4159.4872,4170.7692,4188.7179,4401.0256,4142.5641,5113.3333,3784.1026
5154.359,4272.3077,4088.2051,4271.7949,4136.9231,4158.4615,4168.2051,4185.1282,4415.8974,4143.5897,5082.5641,3795.8974
5155.3846,4269.7436,4100.5128,4284.6154,4133.3333,4156.4103,4175.3846,4186.1538,4433.3333,4165.1282,5064.6154,3806.6667
5129.2308,4257.9487,4108.2051,4263.5897,4133.8462,4163.0769,4182.5641,4185.1282,4470.7692,4175.3846,5051.2821,3804.1026
5096.9231,4261.5385,4106.6667,4236.9231,4131.2821,4169.7436,4175.3846,4181.0256,4526.1538,4156.4103,5030.2564,3825.1282
5070.2564,4258.9744,4104.1026,4233.3333,4135.8974,4169.2308,4169.7436,4189.7436,4601.0256,4161.0256,4994.359,3841.0256
5033.8462,4254.8718,4108.2051,4204.6154,4148.2051,4165.1282,4177.4359,4202.5641,4630.7692,4180,4984.1026,3831.7949
5007.1795,4253.8462,4111.7949,4161.0256,4160.5128,4169.2308,4186.6667,4203.5897,4612.3077,4167.1795,5015.3846,3840
4995.8974,4244.6154,4112.8205,4130.7692,4160.5128,4177.9487,4188.2051,4207.1795,4647.6923,4152.8205,5028.2051,3871.7949
4973.3333,4241.5385,4111.7949,4106.1538,4147.6923,4174.359,4186.1538,4212.3077,4713.8462,4166.1538,4987.1795,3874.359
4937.9487,4243.0769,4103.5897,4085.641,4153.8462,4169.7436,4192.3077,4207.6923,4707.6923,4174.359,4958.4615,3851.2821
4924.1026,4247.6923,4102.0513,4076.9231,4168.2051,4178.9744,4201.5385,4202.0513,4693.3333,4165.641,4968.2051,3872.8205
4939.4872,4246.1538,4116.9231,4080.5128,4165.641,4179.4872,4196.9231,4201.0256,4727.6923,4163.5897,4971.7949,3922.0513
4925.1282,4242.0513,4122.5641,4084.1026,4165.641,4168.7179,4189.2308,4202.0513,4741.5385,4169.7436,4951.7949,3912.3077
4863.5897,4244.1026,4106.6667,4078.4615,4156.9231,4166.6667,4185.641,4199.4872,4733.8462,4169.2308,4904.1026,3873.8462
4836.9231,4231.7949,4098.9744,4077.9487,4139.4872,4168.7179,4181.5385,4189.2308,4741.0256,4157.9487,4869.2308,3902.5641
4863.0769,4230.2564,4115.8974,4089.2308,4152.3077,4170.2564,4183.5897,4182.5641,4743.0769,4150.7692,4891.2821,3971.7949
4855.8974,4244.1026,4127.1795,4086.1538,4181.5385,4171.7949,4188.2051,4188.7179,4749.7436,4165.1282,4912.3077,3985.641
4812.8205,4240.5128,4122.5641,4075.8974,4189.2308,4175.8974,4186.1538,4192.3077,4764.6154,4189.7436,4873.8462,3941.5385
4797.9487,4233.3333,4120,4076.4103,4175.3846,4172.3077,4185.1282,4187.6923,4724.1026,4185.1282,4850.7692,3936.4103
4791.2821,4231.7949,4120,4067.6923,4161.5385,4173.3333,4184.6154,4190.7692,4646.1538,4153.8462,4888.7179,3977.4359
4758.4615,4235.8974,4121.0256,4054.359,4161.5385,4187.1795,4185.1282,4198.9744,4626.1538,4146.6667,4889.2308,3969.2308
4741.5385,4233.8462,4125.1282,4056.9231,4175.8974,4163.0769,4192.8205,4204.6154,4619.4872,4164.1026,4847.1795,3944.6154
4741.0256,4223.5897,4121.5385,4057.9487,4174.8718,4096.4103,4194.8718,4201.0256,4561.5385,4160,4830.7692,3957.4359
4705.641,4226.1538,4110.2564,4048.2051,4162.0513,4063.5897,4187.1795,4187.1795,4538.9744,4146.6667,4809.2308,3961.5385
4678.4615,4225.1282,4114.359,4050.7692,4163.5897,4069.7436,4184.1026,4183.0769,4587.1795,4163.5897,4774.8718,3955.8974
4683.5897,4221.0256,4125.1282,4057.9487,4172.3077,4066.1538,4186.1538,4194.8718,4616.4103,4178.9744,4765.641,3973.3333
4669.2308,4225.1282,4123.5897,4053.3333,4175.3846,4062.0513,4188.2051,4196.4103,4606.6667,4176.4103,4755.3846,3983.0769
4643.0769,4218.9744,4117.9487,4046.6667,4155.3846,4071.2821,4184.1026,4184.1026,4603.0769,4167.6923,4726.6667,3991.7949
4629.7436,4220.5128,4113.3333,4046.6667,4138.9744,4069.2308,4172.8205,4178.4615,4612.3077,4157.4359,4693.3333,4008.7179
4621.0256,4221.5385,4116.4103,4044.1026,4161.5385,4067.6923,4171.7949,4183.0769,4622.0513,4154.359,4681.5385,4016.4103
4605.641,4214.359,4117.9487,4036.9231,4179.4872,4074.8718,4180,4182.0513,4616.9231,4156.9231,4691.2821,4025.641
4587.1795,4216.9231,4112.3077,4038.4615,4161.0256,4072.8205,4176.4103,4180,4606.6667,4157.4359,4681.5385,4020.5128
4574.359,4213.3333,4112.3077,4032.8205,4147.6923,4068.2051,4166.1538,4182.5641,4606.6667,4153.3333,4662.5641,4014.359
4564.6154,4211.2821,4117.4359,4020.5128,4153.8462,4069.7436,4170.2564,4180,4608.7179,4157.9487,4662.0513,4040
