AF3_Mean,AF3_Std,F7_Mean,F7_Std,F3_Mean,F3_Std,FC5_Mean,FC5_Std,T7_Mean,T7_Std,P7_Mean,P7_Std,O1_Mean,O1_Std,O2_Mean,O2_Std,FC6_Mean,FC6_Std,F4_Mean,F4_Std,F8_Mean,F8_Std,AF4_Mean,AF4_Std,class
4137.01389269,99.1755201795,4129.54615929,55.8150965244,4143.71116246,294.321639383,4135.64275313,473.224777475,4118.57505919,108.481201098,4154.6111898,154.767839008,4148.67155168,144.733619697,4153.17391136,142.446580282,4140.25863138,210.6250999,4146.21060741,114.230750339,4176.11065967,162.557038773,4148.96966872,133.833618364,1.0
4126.31272415,86.0062385721,4119.17451125,18.1070505327,4114.60379471,48.544624167,4136.60418975,317.941194295,4148.21360948,57.9985785071,4108.99669129,72.3832313554,4113.14788203,69.8221223149,4108.62352525,67.6171055412,4116.27625568,56.4747396485,4125.71057111,58.4006166334,4106.48969647,82.2976193058,4114.2769903,83.9497902083,1.0
4118.41813081,72.9096074927,4121.81860395,19.0655397235,4121.84870102,42.2334548547,4113.4172614,220.573508205,4119.81246772,60.0948715925,4121.77519086,77.6028980218,4120.59327607,67.0566578958,4123.79580023,71.4710087731,4118.21149481,65.4045411583,4131.21838454,60.1574810649,4122.00613691,67.3835953731,4118.7254728,74.4408873071,1.0
4125.00039516,38.6932029548,4122.52977384,41.5838948598,4121.27861668,19.9457555022,4124.98402379,16.6362480049,4128.1602379,9.54386133113,4123.00826323,9.51565531392,4134.02096787,14.6835828779,4131.77585963,6.35841609787,4135.74744552,29.010883876,4121.77665118,16.3763529641,4105.19158229,30.7596493936,4127.92468826,48.2494675093,0.0
4125.92824657,31.6843278779,4121.90818113,15.1549466228,4125.4108425,17.7109954278,4120.58869712,17.9170874549,4128.82438361,10.3012487947,4124.474829,10.0813407605,4120.52045938,18.7994683304,4128.48419891,7.01306609188,4117.74297875,32.2383631242,4119.65065134,17.7558354508,4113.56606296,102.609119395,4121.08063952,51.3398210494,1.0
4128.6152841,30.235676855,4125.69839715,6.92971935276,4128.35509902,10.4077666762,4127.02146418,11.0337666104,4126.30935231,8.34298498511,4134.70521639,19.078184105,4129.12256801,17.4929515508,4129.71239028,9.00790721166,4141.99390991,36.8531476006,4124.95256663,9.60538556284,4148.23985447,38.2605928834,4132.39676752,24.804461208,0.0
4133.06657771,34.7942265627,4134.36115223,7.71177221236,4127.08476093,11.8634074531,4121.46659915,12.4724219909,4127.7325913,5.78706876831,4112.68114628,12.8421892103,4123.48195202,10.526686004,4127.22739342,6.27602446942,4108.04071975,42.8900017082,4124.87778344,12.7990806798,4118.79797367,60.7100888636,4126.51859151,36.9679347731,0.0
4110.66371022,32.9976104033,4125.73377693,11.8152241337,4118.80902071,16.7282824183,4093.07188204,40.1891509353,4057.89830917,97.8193700391,4125.31034535,22.8769458542,4122.50764469,19.3882764138,4124.17985701,20.6497744465,4138.82111848,36.2976723575,4128.59226422,16.3300273303,4129.26303132,29.9151363244,4130.10047969,43.0599220412,1.0
4132.56966677,32.7118966968,4125.67844951,10.3258479101,4134.80048679,14.2692983856,4143.99585325,40.591029433,4126.30809704,120.296128819,4133.3965497,14.8181929097,4134.48035128,15.2561530148,4132.66878886,8.82908885029,4138.04379694,24.5086279673,4126.52657692,13.320308269,4123.26000168,53.2057692034,4126.90992821,85.532397999,1.0
4121.1039217,20.7001629036,4128.70143988,7.44322525099,4123.39803406,15.7475229593,4122.97734133,35.7063781193,4125.09092835,14.3454540891,4122.43363489,19.3058447472,4123.90073718,17.6417079652,4127.7839026,10.7723039549,4144.07061329,20.7778133136,4121.9415812,10.6103933072,4129.49809533,50.0872457093,4124.81295078,40.4549263244,1.0
4129.25401044,31.1050094768,4128.93924443,7.00336210309,4126.84905901,14.6698206809,4134.35846818,21.9732315285,4129.9290134,17.9677019857,4130.64190956,14.8680529763,4128.47694778,13.7340603016,4127.69786414,8.19651799789,4136.34204906,42.678286515,4123.25830601,18.14764147,4108.8250602,138.90457708,4127.54427202,32.3996720477,0.0
4124.97360148,23.6897442426,4128.76948532,6.5341982464,4122.20083419,14.3163965906,4127.01477783,18.9096480476,4127.65390975,10.5519412063,4125.67841438,13.0143908397,4125.53138867,13.5248121042,4124.83112187,7.14347867697,4121.20095901,36.7923192393,4122.15889862,13.6761273695,4131.79942039,70.1641988595,4123.29215655,31.0420186611,0.0
